Model,Paradigm,H1_Seeds,H1_MAE_mean,H1_MAE_std,H1_RMSE_mean,H1_RMSE_std,H1_MAPE_mean,H1_MAPE_std,H1_CRPS_mean,H1_CRPS_std,H1_DA_mean,H1_DA_std,H1_R2_mean,H1_R2_std,H3_Seeds,H3_MAE_mean,H3_MAE_std,H3_RMSE_mean,H3_RMSE_std,H3_MAPE_mean,H3_MAPE_std,H3_CRPS_mean,H3_CRPS_std,H3_DA_mean,H3_DA_std,H3_R2_mean,H3_R2_std,H5_Seeds,H5_MAE_mean,H5_MAE_std,H5_RMSE_mean,H5_RMSE_std,H5_MAPE_mean,H5_MAPE_std,H5_CRPS_mean,H5_CRPS_std,H5_DA_mean,H5_DA_std,H5_R2_mean,H5_R2_std,H7_Seeds,H7_MAE_mean,H7_MAE_std,H7_RMSE_mean,H7_RMSE_std,H7_MAPE_mean,H7_MAPE_std,H7_CRPS_mean,H7_CRPS_std,H7_DA_mean,H7_DA_std,H7_R2_mean,H7_R2_std
TimesNet,P4 Frequency,5,3.080793,0.0919001767745851,5.644068200000001,0.07991506523653726,2.71444,0.06977250461320704,3.0711795,0.10047365924833228,56.668000000000006,2.1500641850884374,0.9656086,0.000974292071198354,5,5.124522,0.09909875437158641,9.1795632,0.24823484726798564,4.53164,0.08487408556208423,5.1612475,0.07437669087993912,46.124,2.4691585611296825,0.9085278000000001,0.004966627725126977,5,5.8389750000000005,0.14350152492987658,9.9906326,0.4566210222018258,5.12452,0.11329214271078121,5.87524275,0.1384345011952854,45.15,4.546211609681187,0.8920384,0.010113143954280493,5,4.7477548,0.10007145398244197,8.6474072,0.18724074201668803,4.30182,0.08009715101050742,4.76130225,0.10770423793977424,45.96,2.8200921970744135,0.8910818,0.0047478345969505075
TimeMixer,P4 Frequency,5,3.082373,0.05514758011735427,5.6647238,0.07259153755473165,2.71776,0.03777049642247241,3.07192825,0.05706229471540301,55.964,1.5116295842566743,0.9653577999999999,0.000890021662657712,5,5.315078199999999,0.09101411707290263,9.500330000000002,0.18224958483574127,4.6766000000000005,0.07765114294071922,5.284610499999999,0.07558477470198617,48.571999999999996,2.9632711654521255,0.9020585999999999,0.003761203030946352,5,5.930387399999999,0.36215592848528655,10.3525132,0.7569533380433429,5.21252,0.27758744496104265,5.8302685,0.33738283149154163,44.644,1.039472943370823,0.883699,0.016449905495169236,5,4.5169049999999995,0.18168490397278472,8.1484828,0.3863431501405973,4.14878,0.13644942506291488,4.52179325,0.2028355996224221,47.46600000000001,1.5839898989576924,0.9031155999999999,0.009229504528413196
Chronos,P6 Foundation,5,3.0842994,0.0687526762405653,5.526313,0.19984218568560533,2.7053400000000005,0.05561257411772989,3.0944705,0.07342619925305946,59.29599999999999,2.5853788890605576,0.9669924,0.0024136573576214425,5,5.4225892,0.510932932856515,9.4915862,1.152908267469429,4.70816,0.39750682811745486,5.4225892,0.510932932856515,47.348,2.4007948683717224,0.9008331999999999,0.02569947232454394,5,5.5598288,0.10762505014800224,9.2118024,0.12686550430057822,4.865059999999999,0.10260589846592638,5.56218275,0.1202132849197105,48.788000000000004,2.608443213872979,0.9083888,0.002543888079299103,5,4.7195842,0.19321702944968377,8.5122506,0.2971045628721308,4.28854,0.13613594088263403,4.6745055,0.19106433371576706,48.285999999999994,1.4202056189157986,0.8943809999999999,0.007390923217027751
TFT,P2 Transformer,5,3.0885796,0.07172130835560662,5.703283600000001,0.12092938170287641,2.70102,0.05267691714593775,3.064643,0.05970869695865094,58.486000000000004,1.9554191366558717,0.9648745999999999,0.001474003880591925,5,5.1004432,0.08979796405798951,9.0001724,0.16165844077263614,4.47762,0.05986863619625889,5.07988225,0.0892514964114747,46.634,2.339338368000664,0.9121036,0.003144730106066346,5,5.7565458000000005,0.19741367653270644,9.5440152,0.4162607224201678,5.0403,0.17304806268779788,5.66306875,0.07089009253194334,49.596000000000004,2.544308157436908,0.9014934,0.00874966245291783,5,4.988262,0.11350946851959075,8.9516286,0.14454394694154457,4.5271,0.10896931678229443,4.9907872499999995,0.1267817607808294,47.19199999999999,3.349826264151621,0.8833076,0.0037994634673858795
CoST,P4 Frequency,5,3.0904716,0.05131546048356192,5.6545096,0.09685940696617958,2.72234,0.0457182064390107,3.11293075,0.027740376929441767,56.86999999999999,1.37775179186964,0.9654780000000001,0.001180607301349603,5,5.2579434,0.10796201362812757,9.4294674,0.292022491159568,4.628259999999999,0.08997945543289329,5.26837,0.11843215587626527,50.612,0.3816490534509436,0.9034572000000001,0.005926372968350884,5,5.7851576,0.08412691910821417,10.1049526,0.499671352249296,5.09138,0.08823111469317378,5.799492750000001,0.08842618684918799,47.472,1.8911414542545448,0.8895144,0.01082317950696557,5,4.8866591999999995,0.1334013065759101,8.8097858,0.2607918060203578,4.415039999999999,0.09585742746391637,4.92212275,0.12631931306093885,46.918,2.2915531850690267,0.8869066,0.00667360713857205
GUMNetHet,P8 GUMNet Ours,5,3.0945244,0.15419919949934888,5.559226000000001,0.3101979297809705,2.71062,0.1319887176996579,2.9405324,0.4601874507630994,62.434000000000005,14.549373319837523,0.9665376,0.003642879663123681,5,5.1974294,0.2706358233490904,9.236721800000002,0.4273513541967077,4.57856,0.22529461245222898,4.959219,0.7429170460292323,56.948,17.275484826771144,0.9072545999999999,0.008408877513675682,5,5.719993400000001,0.4650859066351505,9.5181976,0.672888373247034,5.063599999999999,0.38880764910171206,5.4068696,1.0624459944310771,55.968,17.86766509648085,0.9017230000000002,0.013307893627467872,5,4.423740399999999,0.22367784353985537,8.094299000000001,0.30983895178689197,4.07622,0.18618232354334824,4.197045999999999,0.6451395083586183,57.604,18.993401591078943,0.9044746,0.007339336498621619
Time_MoE,P7 SparseMoE,5,3.1002506,0.08132628560705325,5.590589,0.07421605777458141,2.71494,0.06420226164240635,3.0903985,0.08821641877366139,55.355999999999995,0.8224986322177085,0.9662580000000001,0.0008894312789642571,5,5.1241424,0.06900916634360983,9.1034626,0.2043309792925193,4.53916,0.05324616793723268,5.10084975,0.056921819886468,47.96,2.6598345813226807,0.9100583999999999,0.004019623843097779,5,5.8569982,0.13433361029973118,9.8090332,0.3871539308907505,5.2054,0.11244210954975911,5.83200325,0.13940287279208965,45.25,2.525581121247148,0.8959826,0.008261002956058066,5,5.037047,0.18135381071485637,9.0290806,0.30031990721935153,4.53692,0.14068642294123468,4.977868,0.1536253091811371,49.31400000000001,2.542239957203096,0.881179,0.007908612571115118
GUMNet_Graph,P8 GUMNet Ours,5,3.1018552,0.04012576239475083,5.596563,0.07994870044972563,2.7089999999999996,0.036407801361796,2.2133626,0.02661476620675071,58.588,2.142534947206228,0.9661852,0.0009747531790150796,5,5.297536599999999,0.1291208694620665,9.5961618,0.3525356433590229,4.64082,0.08431536989185312,3.8060616000000005,0.06359979503614777,43.370000000000005,3.9240183485809537,0.8999748000000001,0.007439594381416245,5,5.5500376000000005,0.2034508372384837,9.509808,0.616933952908413,4.9415,0.1635923347837546,3.9191095,0.18200344752847405,48.79,2.405136170781189,0.9019731999999999,0.01297016365972304,5,4.8165526,0.15254487232627653,8.871973,0.4195980961396275,4.35806,0.11362014962144695,3.4951098000000003,0.09481461125881392,50.41000000000001,3.36498439818077,0.8851486000000002,0.011061240990051726
TTM,P4 Frequency,5,3.1027086,0.04039465084191216,5.500052799999999,0.1391850849012206,2.7174400000000007,0.03142722386721422,3.1089167499999997,0.04297620433085606,58.184000000000005,0.7424715482764324,0.9673269999999998,0.0016307327187494918,5,5.034823399999999,0.17336386464958622,8.8727406,0.29539420830652746,4.43256,0.14256339782707197,5.06258275,0.18361884270326823,46.634,1.5669537325651959,0.9145078,0.005783715947381907,5,5.8367154,0.18420306715318313,9.8312316,0.44333152659137615,5.12142,0.14110357047218897,5.822214,0.2033765213243656,44.948,3.8196146402484135,0.8954618,0.00951797748263779,5,4.993439599999999,0.14860236494834125,8.9672672,0.25881582890572996,4.50178,0.12124968288618303,4.99348225,0.1661424674494378,47.39799999999999,1.3106395385459724,0.8828326000000001,0.006814181993460413
Gated_TabNet,P7 SparseMoE,5,3.1177802000000003,0.05818546696349525,5.616868200000001,0.08260472176673664,2.72744,0.04227891200113835,3.121331,0.06456697920764139,60.102,1.5337196614766346,0.9659388,0.0010092760573797526,5,5.2178556,0.07945281023248953,8.9980538,0.08851263574970551,4.59922,0.06438320899116476,5.21980825,0.08872357131668838,47.96,1.512904491367517,0.9121649999999999,0.0017224230606909488,5,5.7424648,0.1607767513061513,9.501642799999999,0.176402900578647,5.03332,0.1270044786611875,5.7237355,0.17480709741955563,48.08,2.7761340025294166,0.9025181999999999,0.0036059272538419515,5,4.5969736,0.10883357740623996,8.327842,0.16114187998655113,4.180200000000001,0.07708647092713472,4.565795,0.09972667132718313,48.29,1.6197407199919365,0.8989927999999999,0.003907059989301426
