Model,Paradigm,H1_Seeds,H1_MAE_mean,H1_MAE_std,H1_RMSE_mean,H1_RMSE_std,H1_MAPE_mean,H1_MAPE_std,H1_CRPS_mean,H1_CRPS_std,H1_DA_mean,H1_DA_std,H1_R2_mean,H1_R2_std,H1_MASE_mean,H1_MASE_std,H1_SMAPE_mean,H1_SMAPE_std,H3_Seeds,H3_MAE_mean,H3_MAE_std,H3_RMSE_mean,H3_RMSE_std,H3_MAPE_mean,H3_MAPE_std,H3_CRPS_mean,H3_CRPS_std,H3_DA_mean,H3_DA_std,H3_R2_mean,H3_R2_std,H3_MASE_mean,H3_MASE_std,H3_SMAPE_mean,H3_SMAPE_std
GUMNet_RL,P8 GUMNet Ours,5,3.2153951999999997,0.08016966411155775,5.807718799999999,0.21206665639972733,2.79768,0.06328704132758939,2.33175375,0.07000964845424888,55.86,1.5199605258032214,0.9635442000000001,0.0026635885868504447,0.6655818,0.016594930712720685,2.7948999999999997,0.062312213891018174,4,5.263911,0.029344609334595022,9.106815000000001,0.09567893880577856,4.614725,0.032122217778354084,3.6247117500000003,0.06476916271025511,44.644999999999996,1.3732170258192977,0.9100275,0.0018880187366654944,1.0913045,0.006083725934819901,4.635125,0.02826980500463375
GUMNet_Adaptive,P8 GUMNet Ours,5,3.2333895999999998,0.07957563092454865,5.9605014,0.30187150582630357,2.78116,0.06890389248801551,2.6349256,0.0827496786715212,54.748000000000005,1.2605300472420324,0.9615536,0.003921262837403289,0.6693066,0.016472202980779456,2.7683999999999997,0.07102920526093477,2,5.310649,0.1988509999999999,9.349682,0.4691340000000004,4.6423000000000005,0.1655000000000002,4.3397995,0.19609349999999992,46.43,1.5300000000000011,0.904936,0.009516000000000024,1.1009945,0.041225500000000026,4.6387,0.15479999999999983
GUMNet,P8 GUMNet Ours,5,3.2378358,0.03739673728228172,5.765101799999999,0.08885731200841057,2.82532,0.02777649365920765,2.3367085000000003,0.03577671189824462,56.26400000000001,3.0051994942099927,0.9641165999999999,0.0011104933318124726,0.670227,0.007741197400919317,2.8309800000000003,0.025773816170679982,5,4.854549799999999,0.018972895260344572,8.353131,0.09037322447052547,4.25652,0.011005344156363457,3.41055675,0.019335676253689822,49.08200000000001,2.4007948683717233,0.9243032,0.001633768331190204,1.0064366,0.00393339398484313,4.29452,0.013848523386989746
GUMNet_Patch,P8 GUMNet Ours,5,3.2529647999999995,0.100271798775927,5.8785944,0.25446374112049824,2.83154,0.07215767734621162,2.3630705,0.10103201342520088,56.668000000000006,1.6723325028235274,0.9626286000000001,0.003253178544131893,0.6733586,0.020756262867867126,2.82818,0.07023216926736646,5,5.2457696,0.1640211664201909,9.2238546,0.29195172974490147,4.59242,0.13123957330012928,3.7297398,0.12939813821133597,43.88,1.290209285348697,0.9076178,0.005858934353617561,1.0875436000000003,0.03400481012209891,4.622719999999999,0.12244803632561858
TimeMachine,P5 SSM,5,3.2552388,0.10199402258054145,5.965799199999999,0.2308686848919965,2.8412599999999997,0.07694732224060814,3.234808,0.10448151922469347,57.678,0.9810891906447653,0.9615262,0.0029408535087623914,0.6738291999999999,0.021112527554984956,2.85038,0.08468828490411172,5,5.2508988,0.19549362894621392,9.5689502,0.6034274621017509,4.60674,0.14680194276643604,5.2508988,0.19549362894621392,47.042,2.2670632986310744,0.9002804,0.011985377767930376,1.0886072000000002,0.04052917788162008,4.7137,0.17569293668215588
GUMNet_Fusion,P8 GUMNet Ours,5,3.2562766000000005,0.15674148962237155,6.0182872,0.4582497530977622,2.7961799999999997,0.11563477677584721,2.3502698,0.08398228013432363,55.86,1.515968337400225,0.960678,0.005806725858864016,0.6740440000000001,0.03244532601777951,2.7976600000000005,0.11378551050111778,4,5.33116825,0.08585492113261467,9.50232175,0.21169246701332478,4.652950000000001,0.06775642035999252,3.73026625,0.12528304192781833,45.92,1.140394668524894,0.902005,0.004359580885819193,1.1052485,0.01779931111728766,4.65925,0.050677485138866434
Reformer,P2 Transformer,5,3.2704709999999997,0.1462482031916974,5.9002984,0.3696809715062973,2.8333800000000005,0.11561659742441827,3.3229300000000004,0.11391197376044368,56.772000000000006,1.7376697039426112,0.9622752,0.004790444547221068,0.6769824,0.030272996796485173,2.8472999999999997,0.12247257652225668,5,5.3194026,0.22908262788836678,9.5071178,0.6329854760837406,4.64554,0.19702427870696546,5.3434375,0.25042000900537065,45.51199999999999,1.7189345537279774,0.9015202,0.012772179976808986,1.1028091999999998,0.04749296431009545,4.73478,0.23139146397393306
UniTS,P3 Inverted,5,3.2828066,0.061495748141152,5.860578000000001,0.15238913626502376,2.85036,0.049186526610444925,3.2857417499999997,0.06844036288395539,49.492000000000004,0.3193994364428334,0.9629019999999999,0.0019407238855643288,0.6795356,0.012729397748518976,2.8610800000000003,0.05342484066424522,5,4.8466178,0.03708414681990132,8.5048578,0.1128193423104389,4.28032,0.031824795364620906,4.8448585,0.041274286780633745,48.980000000000004,2.280789337049787,0.9215235999999999,0.0020812212376391,1.0047922,0.007688242228233994,4.31144,0.03356835414493837
MambaFormer,P5 SSM,5,3.3130598000000004,0.1758621378675921,6.002771999999999,0.335073119504385,2.8764600000000002,0.13743974097763714,3.2634927499999997,0.16240351655887103,55.455999999999996,1.9523175971137479,0.960985,0.004364771884073673,0.6857979999999999,0.03640324915168975,2.8814599999999997,0.130859277088023,5,5.2414412,0.40020305316896304,9.460550800000002,0.7146762345222905,4.55722,0.2952571787442261,5.2414412,0.40020305316896304,47.246,3.1205999423187842,0.9023588,0.013970975834207122,1.0866464,0.08296960968595667,4.632600000000001,0.2983310711273636
BiMamba,P5 SSM,5,3.3178652,0.05516607744764894,6.1268899999999995,0.19427766196863713,2.89182,0.04687435972896052,3.31432325,0.061166927969185284,56.366,2.084424141099888,0.9594403999999999,0.0025203652592431843,0.686793,0.011419451790694674,2.9089199999999997,0.04241661938438749,5,5.2515448000000005,0.09608309378740862,9.631432,0.20618385527387897,4.61404,0.08502274048747185,5.2515448000000005,0.09608309378740862,42.962,3.311467348472577,0.8993276,0.004366225399587154,1.0887410000000002,0.019919946154545672,4.7396199999999995,0.09252795037176602
Crossformer,P3 Inverted,5,3.3269509999999998,0.2234789226473047,6.1292618,0.6420952675821242,2.84088,0.14948564345782497,3.2742455,0.2203161079749958,55.254,1.5819557515935778,0.9590044000000001,0.008515433085874142,0.6886734,0.04625971039511596,2.8410199999999994,0.15110565045689064,5,5.1214844,0.1599946319369497,9.0690184,0.32613905534884974,4.4636000000000005,0.12354451829199059,5.1615157499999995,0.15487190802946638,48.775999999999996,3.3458487712387712,0.9106674,0.006576412201193008,1.061777,0.033169916780118706,4.47008,0.11665647688834077
Lag_Llama,P6 Foundation,5,3.3351374,0.1700327845429816,6.0323224,0.4973054042109737,2.90892,0.1314050136029824,3.379454,0.16223171575404116,55.254,2.6827344259169603,0.9604554000000001,0.006676592711855336,0.690368,0.03519663100354921,2.91294,0.1278479033852335,5,5.1430094,0.17105505876716998,8.984463,0.2558889765402175,4.465719999999999,0.12407190495837464,5.1430094,0.17105505876716998,43.88,1.5129044913675145,0.9123676,0.005019917672631703,1.0662395999999998,0.035462612462141045,4.494400000000001,0.12009081563550147
FedFormer,P2 Transformer,5,3.3552495999999996,0.13177534255330164,6.0012007999999994,0.38453252534390375,2.88774,0.10263458676294267,3.405411,0.09552536773810395,55.660000000000004,1.442289846043437,0.9609669999999999,0.00507855936265396,0.6945316,0.027277380611781626,2.8957400000000004,0.09849612378159862,5,5.4841794,0.150124025980654,10.088500999999999,0.43249627720802414,4.75036,0.10651188853832232,5.5037425,0.16204306391434994,47.144000000000005,4.049284381220958,0.889394,0.00947556343443492,1.1369702,0.031123493347630513,4.84528,0.1269154111997436
GUMNet_Diffusion,P8 GUMNet Ours,5,3.357692,0.1528136936089172,6.025249199999999,0.21757299896761073,2.90302,0.11733211666035862,2.4119412000000002,0.08178809029779331,58.69000000000001,1.4408886147096864,0.9607632,0.002850013150846848,0.695037,0.03163214788154608,2.90094,0.11810464173774039,5,5.600696000000001,0.1681487509998216,9.812656,0.29541221178955995,4.90398,0.13286026343493382,3.8954880000000003,0.0830580348575621,46.022,3.279898778925961,0.8954570000000001,0.006411462017356118,1.1611266,0.03486038350104597,4.9263200000000005,0.13198533857970735
Informer,P2 Transformer,5,3.3865906000000003,0.125203009079814,6.2063962,0.30979323318135915,2.92496,0.09492613128111765,3.3585345,0.12513599848664642,55.660000000000004,1.8746733048720794,0.9583192,0.0041159260634758355,0.7010188,0.025916925746700754,2.9467399999999997,0.09927937550166191,5,5.4866095999999995,0.8041359240746804,9.994890800000002,2.05929243799373,4.7245,0.6081647243962776,5.643223999999999,0.828041592583066,49.184,3.2028649674939476,0.8870359999999999,0.04966429391423982,1.1374744,0.166712123112388,4.729360000000001,0.5484821039924639
GPT4TS,P6 Foundation,5,3.4320218,0.18607371869385536,6.3314528,0.5819353017542069,2.90686,0.14292594725941132,3.3717312500000003,0.1584441033588424,52.022000000000006,2.0938997110654567,0.9563648,0.008051798194192368,0.7104231999999999,0.038516758173034245,2.9212800000000003,0.13276924945182145,5,5.4619602,0.3700158233110579,9.782931399999999,0.673297292506542,4.7366399999999995,0.2765697785369905,5.4619602,0.3700158233110579,45.92,2.2113073056452373,0.8956916000000001,0.014835135868605975,1.1323637999999998,0.07671092510301258,4.84592,0.309951650423094
