Model,Paradigm,XANG_Seeds,DAU_Seeds,XANG_MAE_mean,XANG_MAE_std,DAU_MAE_mean,DAU_MAE_std,XANG_RMSE_mean,XANG_RMSE_std,DAU_RMSE_mean,DAU_RMSE_std,XANG_MAPE_mean,XANG_MAPE_std,DAU_MAPE_mean,DAU_MAPE_std,XANG_CRPS_mean,XANG_CRPS_std,DAU_CRPS_mean,DAU_CRPS_std,XANG_DA_mean,XANG_DA_std,DAU_DA_mean,DAU_DA_std,XANG_R2_mean,XANG_R2_std,DAU_R2_mean,DAU_R2_std,XANG_MASE_mean,XANG_MASE_std,DAU_MASE_mean,DAU_MASE_std,XANG_SMAPE_mean,XANG_SMAPE_std,DAU_SMAPE_mean,DAU_SMAPE_std
NHits,P1 Linear,5,1,3.132106,0.07908095866894885,6.137477,0.0,5.5863398,0.07086898378952537,11.59048,0.0,2.75108,0.052492986198157975,3.6224,0.0,3.1478309999999996,0.08112255792934538,,0.0,57.072,1.2361779807131335,61.11,0.0,0.96631,0.0008623011075024697,0.960776,0.0,0.6483410000000001,0.016369747169703026,1.078214,0.0,2.7540799999999996,0.051943754196245785,3.6325,0.0
Autoformer,P2 Transformer,5,1,3.1454128,0.07407035001510386,5.807937,0.0,5.718515200000001,0.08869455044229038,11.547294,0.0,2.74868,0.052504605512278646,3.3354,0.0,3.1308875,0.07617807584042793,5.807937,0.0,56.465999999999994,1.2511210972563769,55.05,0.0,0.964694,0.0010882464794337622,0.961068,0.0,0.6510952,0.0153324114398225,1.020322,0.0,2.75366,0.052573476202358915,3.3464,0.0
GUMNet_Decomp,P8 GUMNet Ours,5,1,3.1537824,0.08622194722598187,6.212519,0.0,5.621694400000001,0.18219091753279018,12.247114,0.0,2.7285800000000004,0.07007180317360187,3.6015,0.0,2.19216925,0.07883396873294846,,0.0,55.153999999999996,0.7424715482764318,56.57,0.0,0.9658518,0.0022450219063519165,0.956206,0.0,0.6528280000000001,0.01784792930286312,1.091397,0.0,2.73972,0.07044908516084507,3.6307,0.0
CARD,P3 Inverted,5,1,3.1652207999999997,0.04447049472807782,5.907179,0.0,5.6919846,0.19236360007818543,11.11627,0.0,2.7670000000000003,0.03242326325341113,3.474,0.0,3.1790725,0.03889322771704602,,0.0,54.041999999999994,2.840580222419358,61.11,0.0,0.9649892000000001,0.0023242420183793395,0.96392,0.0,0.6551958000000001,0.009205217138123351,1.037756,0.0,2.7727399999999998,0.03398791549948302,3.4833,0.0
GUMNet_iTrans,P8 GUMNet Ours,5,1,3.1694096000000003,0.12239036399749782,5.715551,0.0,5.6665986,0.2842895230349511,11.277808,0.0,2.7338999999999998,0.09241231519662303,3.3361,0.0,2.219197,0.10369208701487297,,0.0,54.24400000000001,1.2217135507147316,60.61,0.0,0.9652533999999999,0.003435963073142669,0.962864,0.0,0.6560628,0.0253345170816418,1.004091,0.0,2.7318000000000002,0.0951706467352198,3.3507,0.0
TEMPO,P6 Foundation,5,1,3.183493,0.09010913774085288,6.149272,0.0,5.7804558,0.13405378449473182,11.89032,0.0,2.80562,0.0658843046559649,3.5387,0.0,3.1642805,0.09112612193685185,,0.0,57.678,1.2524120727619967,58.59,0.0,0.9639139999999999,0.0016661598962884594,0.95872,0.0,0.6589780000000001,0.018652530948908782,1.080286,0.0,2.8076999999999996,0.06943149141419905,3.5433,0.0
S_Mamba,P5 SSM,5,1,3.1912474,0.08415251803624182,5.746563,0.0,5.9729966,0.10379443813153008,11.446657,0.0,2.80572,0.06390813406758168,3.3736,0.0,3.15739175,0.055866203380823265,,0.0,57.577999999999996,1.779993258414201,58.08,0.0,0.9614794,0.0013491361087748148,0.961743,0.0,0.6605829999999999,0.01741917039356352,1.00954,0.0,2.81716,0.06526553761365954,3.3948,0.0
GUMNet_MoE_Sparse,P8 GUMNet Ours,5,1,3.2045597999999997,0.03634628203489326,5.864309,0.0,5.8409138,0.07397980273939643,11.2487,0.0,2.7725,0.0351770948203514,3.4068,0.0,2.347756,0.030768308273286703,,0.0,56.767999999999994,2.5860038669731336,61.11,0.0,0.9631692,0.0009384705429580881,0.963055,0.0,0.6633387999999999,0.0075235900579444254,1.030225,0.0,2.76762,0.03717538970878457,3.4234,0.0
GUMNet_Mamba,P8 GUMNet Ours,5,1,3.2093523999999993,0.06052816685345757,6.023276,0.0,5.6562176,0.10148169967555709,11.790509,0.0,2.77596,0.04315157471054799,3.5287,0.0,2.265375,0.05596071801272755,,0.0,58.38599999999999,1.1342592296296297,61.11,0.0,0.9654562,0.0012440818944104695,0.95941,0.0,0.6643307999999999,0.012529196836190257,1.058152,0.0,2.77878,0.04409532401513798,3.5345,0.0
FITS,P4 Frequency,5,1,3.215348,0.08498807681080918,6.234802,0.0,5.779377,0.09911958216820725,12.331822,0.0,2.7885,0.07005937481879206,3.5632,0.0,3.1791945,0.04993334245521729,,0.0,54.75,1.6450531906294097,56.57,0.0,0.9639365999999999,0.0012358245182872722,0.955598,0.0,0.6655719999999999,0.017592351315273345,1.095312,0.0,2.79446,0.06841220943662027,3.5743,0.0
GUMNet_RL,P8 GUMNet Ours,5,1,3.2153951999999997,0.08016966411155775,6.371801,0.0,5.807718799999999,0.21206665639972733,12.153101,0.0,2.79768,0.06328704132758939,3.6676,0.0,2.33175375,0.07000964845424888,,0.0,55.86,1.5199605258032214,57.07,0.0,0.9635442000000001,0.0026635885868504447,0.956875,0.0,0.6655818,0.016594930712720685,1.11938,0.0,2.7948999999999997,0.062312213891018174,3.6829,0.0
GUMNet_Adaptive,P8 GUMNet Ours,5,1,3.2333895999999998,0.07957563092454865,5.714831,0.0,5.9605014,0.30187150582630357,11.511433,0.0,2.78116,0.06890389248801551,3.3184,0.0,2.6349256,0.0827496786715212,4.891908,0.0,54.748000000000005,1.2605300472420324,59.09,0.0,0.9615536,0.003921262837403289,0.961309,0.0,0.6693066,0.016472202980779456,1.003965,0.0,2.7683999999999997,0.07102920526093477,3.3557,0.0
GUMNet,P8 GUMNet Ours,5,1,3.2378358,0.03739673728228172,5.849609,0.0,5.765101799999999,0.08885731200841057,11.242562,0.0,2.82532,0.02777649365920765,3.4215,0.0,2.3367085000000003,0.03577671189824462,,0.0,56.26400000000001,3.0051994942099927,60.61,0.0,0.9641165999999999,0.0011104933318124726,0.963095,0.0,0.670227,0.007741197400919317,1.027642,0.0,2.8309800000000003,0.025773816170679982,3.4422,0.0
