Model,Paradigm,H1_Seeds,H1_MAE_mean,H1_MAE_std,H1_RMSE_mean,H1_RMSE_std,H1_MAPE_mean,H1_MAPE_std,H1_CRPS_mean,H1_CRPS_std,H1_DA_mean,H1_DA_std,H1_R2_mean,H1_R2_std,H1_MASE_mean,H1_MASE_std,H1_SMAPE_mean,H1_SMAPE_std,H3_Seeds,H3_MAE_mean,H3_MAE_std,H3_RMSE_mean,H3_RMSE_std,H3_MAPE_mean,H3_MAPE_std,H3_CRPS_mean,H3_CRPS_std,H3_DA_mean,H3_DA_std,H3_R2_mean,H3_R2_std,H3_MASE_mean,H3_MASE_std,H3_SMAPE_mean,H3_SMAPE_std
RLinear,P1 Linear,1,5.798225735783576,0.0,11.21523324388642,0.0,3.3715571097315773,0.0,,0.0,60.60606060606061,0.0,0.9632745476062974,0.0,,0.0,,0.0,1,9.391028,0.0,17.865216,0.0,5.5899,0.0,,0.0,45.92,0.0,0.907239,0.0,1.685725,0.0,5.6153,0.0
Autoformer,P2 Transformer,1,5.807937,0.0,11.547294,0.0,3.3354,0.0,5.807937,0.0,55.05,0.0,0.961068,0.0,1.020322,0.0,3.3464,0.0,1,9.48393,0.0,18.15345,0.0,5.6705,0.0,,0.0,46.43,0.0,0.904222,0.0,1.702401,0.0,5.7211,0.0
GUMNet_Fourier,P8 GUMNet Ours,1,5.816764,0.0,11.12276,0.0,3.3364,0.0,,0.0,56.57,0.0,0.963878,0.0,1.021872,0.0,3.3485,0.0,1,10.401879,0.0,20.133367,0.0,6.036,0.0,7.496826,0.0,42.86,0.0,0.88219,0.0,1.867177,0.0,5.9503,0.0
GUMNet,P8 GUMNet Ours,1,5.849609,0.0,11.242562,0.0,3.4215,0.0,,0.0,60.61,0.0,0.963095,0.0,1.027642,0.0,3.4422,0.0,1,9.050889,0.0,17.744341,0.0,5.3721,0.0,6.210441,0.0,45.41,0.0,0.90849,0.0,1.624669,0.0,5.4062,0.0
GUMNet_MoE_Sparse,P8 GUMNet Ours,1,5.864309,0.0,11.2487,0.0,3.4068,0.0,,0.0,61.11,0.0,0.963055,0.0,1.030225,0.0,3.4234,0.0,1,9.223287,0.0,18.456603,0.0,5.4837,0.0,6.93368,0.0,45.41,0.0,0.900996,0.0,1.655615,0.0,5.4858,0.0
TFT,P2 Transformer,1,5.880954,0.0,11.386556,0.0,3.427,0.0,,0.0,60.1,0.0,0.962144,0.0,1.033149,0.0,3.4232,0.0,1,9.456526,0.0,18.44639,0.0,5.6159,0.0,,0.0,50.0,0.0,0.901106,0.0,1.697482,0.0,5.5827,0.0
CARD,P3 Inverted,1,5.907179,0.0,11.11627,0.0,3.474,0.0,,0.0,61.11,0.0,0.96392,0.0,1.037756,0.0,3.4833,0.0,1,9.437782,0.0,19.031898,0.0,5.5862,0.0,,0.0,51.02,0.0,0.894728,0.0,1.694117,0.0,5.5451,0.0
GUMNet_Patch,P8 GUMNet Ours,1,5.907462,0.0,11.450835,0.0,3.4129,0.0,,0.0,58.59,0.0,0.961715,0.0,1.037806,0.0,3.415,0.0,1,8.941487,0.0,16.892774,0.0,5.4072,0.0,6.710963,0.0,47.96,0.0,0.917062,0.0,1.605031,0.0,5.422,0.0
BiMamba,P5 SSM,1,5.914128,0.0,11.845525,0.0,3.4672,0.0,5.914128,0.0,57.07,0.0,0.959031,0.0,1.038977,0.0,3.4822,0.0,1,9.542628,0.0,18.37158,0.0,5.695,0.0,9.542628,0.0,42.35,0.0,0.901906,0.0,1.712938,0.0,5.7882,0.0
GUMNet_Mamba,P8 GUMNet Ours,1,6.023276,0.0,11.790509,0.0,3.5287,0.0,,0.0,61.11,0.0,0.95941,0.0,1.058152,0.0,3.5345,0.0,1,9.529498,0.0,18.49663,0.0,5.6444,0.0,6.996714,0.0,45.41,0.0,0.900566,0.0,1.710581,0.0,5.6268,0.0
DLinear,P1 Linear,1,6.034611210751532,0.0,11.652639795587222,0.0,3.5124143491926185,0.0,,0.0,55.05050505050505,0.0,0.9603540181535232,0.0,,0.0,,0.0,1,9.76971,0.0,18.856941,0.0,5.8555,0.0,,0.0,44.9,0.0,0.896654,0.0,1.7537,0.0,5.897,0.0
TTM,P4 Frequency,1,6.063214,0.0,12.070243,0.0,3.5016,0.0,,0.0,61.62,0.0,0.957461,0.0,1.065168,0.0,3.4998,0.0,1,9.171693,0.0,18.05956,0.0,5.4809,0.0,,0.0,52.55,0.0,0.90521,0.0,1.646353,0.0,5.5084,0.0
TimesNet,P4 Frequency,1,6.076808,0.0,11.813224,0.0,3.5379,0.0,,0.0,58.08,0.0,0.959254,0.0,1.067556,0.0,3.5311,0.0,1,9.500668,0.0,17.998915,0.0,5.6941,0.0,,0.0,47.45,0.0,0.905845,0.0,1.705406,0.0,5.7059,0.0
CoST,P4 Frequency,1,6.107552,0.0,11.757786,0.0,3.5649,0.0,,0.0,55.56,0.0,0.959635,0.0,1.072957,0.0,3.5765,0.0,1,9.696576,0.0,18.456181,0.0,5.8354,0.0,,0.0,50.0,0.0,0.901001,0.0,1.740572,0.0,5.864,0.0
GUMNet_Graph,P8 GUMNet Ours,1,6.108421,0.0,11.951983,0.0,3.4897,0.0,,0.0,62.63,0.0,0.958291,0.0,1.07311,0.0,3.4619,0.0,1,9.56978,0.0,17.694531,0.0,5.6989,0.0,6.621702,0.0,56.12,0.0,0.909003,0.0,1.717812,0.0,5.6892,0.0
TimesFM,P6 Foundation,1,6.112611,0.0,11.864844,0.0,3.5448,0.0,,0.0,57.07,0.0,0.958897,0.0,1.073846,0.0,3.5526,0.0,1,9.143055,0.0,17.630664,0.0,5.4581,0.0,,0.0,55.61,0.0,0.909659,0.0,1.641213,0.0,5.4946,0.0
Chronos,P6 Foundation,1,6.121828,0.0,11.773999,0.0,3.5416,0.0,,0.0,60.1,0.0,0.959524,0.0,1.075465,0.0,3.5365,0.0,1,9.460461,0.0,18.45458,0.0,5.6116,0.0,,0.0,45.92,0.0,0.901018,0.0,1.698188,0.0,5.6379,0.0
NHits,P1 Linear,1,6.137477,0.0,11.59048,0.0,3.6224,0.0,,0.0,61.11,0.0,0.960776,0.0,1.078214,0.0,3.6325,0.0,1,9.112205,0.0,17.36366,0.0,5.4962,0.0,,0.0,44.39,0.0,0.912374,0.0,1.635675,0.0,5.5305,0.0
