target,horizon,model,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,crps_mean,crps_std,picp_mean,picp_std,pinaw_mean,pinaw_std
DAU,5,GUMNet_Wavelet,3,13.676017666666667,0.46743503131486974,20.274266333333333,1.131155964081582,8.127899999999999,0.2854263302500312,9.381944666666667,0.3851016587270606,59.833333333333336,1.6072751268321586,0.143896,0.004638346364815798
DAU,5,GUMNet_iTrans,3,13.925732000000002,0.07922715511742277,20.286019999999997,0.5620062440640677,8.371166666666667,0.0384148842681224,9.476513666666667,0.2359255529321329,67.0,2.598076211353316,0.15160300000000002,0.003366774569227958
DAU,5,NBEATS,3,14.558622999999999,0.16851409743994727,22.052099666666667,0.24146625690835746,8.706333333333333,0.15731599833879992,11.446474333333335,0.11559961725859347,52.5,4.358898943540674,0.08602066666666668,0.000579002878519038
DAU,5,NHits,3,14.453797333333332,0.6789501986687485,21.458185333333333,0.5429716179915244,8.635133333333334,0.41362844840911633,11.281366333333333,0.5324154838566725,49.166666666666664,5.251983752196244,0.08694866666666667,0.00011736410581319757
DAU,5,PatchTST,3,14.029842333333335,0.048426377072142916,21.126917333333335,0.2426227684582266,8.299466666666666,0.0193995704419802,10.947342999999998,0.08947290153448742,54.666666666666664,2.516611478423584,0.08851433333333332,0.0003876678131252776
DAU,5,TFT,3,14.47414,0.06114404923620927,21.982684000000003,0.36580575754353484,8.644566666666668,0.04470753105835115,11.241844333333333,0.02570000148508521,51.333333333333336,2.8431203515386643,0.091985,0.0009088041593214633
DAU,5,TimesNet,1,14.4594,,22.302675,,8.6547,,11.335805,,50.0,,0.085819,
DAU,5,iTransformer,1,13.431711,,20.074351,,8.045,,10.405053,,50.0,,0.086669,
DAU,7,DLinear,3,11.546774333333332,0.17997965061176535,20.028662666666666,0.3190231870669187,7.428166666666667,0.10067533627127014,8.881072000000001,0.16802033534367225,62.81,1.2929423807734097,0.069967,0.0002731062064472378
DAU,7,GUMNetHet,3,11.559398333333334,0.10460656939376937,20.421054,0.16451071118015592,7.363266666666667,0.030691095342677496,8.404912333333334,0.0711633103314721,77.55,3.786079766724415,0.11063966666666668,0.006150773962139502
DAU,7,GUMNet_Adaptive,3,11.639885333333334,0.2740934912513123,20.264167,0.6251385771946879,7.4341,0.19348227308981059,8.363039333333333,0.4297694749517855,80.27,1.7991108915239136,0.11777166666666666,0.004334203771551739
DAU,7,GUMNet_Decomp,3,12.036210666666667,0.2764719633694047,20.749817333333336,0.3839794652404392,7.7137,0.19022909872046373,8.640814333333333,0.213176612278021,78.11666666666666,0.5193585787616632,0.109113,0.000565914304466671
DAU,7,GUMNet_Fusion,3,11.451591,0.09654385316010598,20.131043333333334,0.24158215067412145,7.327566666666667,0.0646476862179407,8.371069666666667,0.198515038194423,80.27,1.799110891523913,0.128162,0.00149950925305582
DAU,7,GUMNet_Mamba,3,11.700511666666666,0.2025841938980764,20.552999,0.30695913206646913,7.498166666666667,0.12936558017236785,8.493850333333333,0.1403526988494825,78.57000000000001,1.7991108915239222,0.12569533333333333,0.0030850054024804075
