target,horizon,model,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,crps_mean,crps_std
DAU,3,iTransformer,1,10.793291,,17.37869,,6.2008,,8.406045,
DAU,5,DLinear,5,14.273865599999999,0.32807121702962594,21.8189802,0.6618284476680492,8.52662,0.1531430279183479,11.183664799999999,0.3056752864604854
DAU,5,GUMNetHet,5,14.180258599999998,0.2163787079862526,21.470768200000002,0.4809879933207257,8.43286,0.10669275045662681,9.9020566,0.19308442990127403
DAU,5,GUMNet_Adaptive,5,14.7847838,0.6108857865904228,22.452306200000002,2.3008203341130744,8.81984,0.3098356790300301,10.5703406,0.6181297562165247
DAU,5,GUMNet_Decomp,5,14.0761584,0.2061511158951125,21.4096864,0.3178018771291324,8.34684,0.10320534385389177,9.649879799999999,0.16303465709842177
DAU,5,GUMNet_Fusion,5,14.050524200000002,0.24405484041850106,21.046635000000002,0.3596577255516692,8.34366,0.13617229160148533,9.483634,0.17944467908383352
DAU,5,GUMNet_Mamba,5,13.72945,0.5047506218089284,20.8046098,0.6443356281552338,8.1902,0.31244689948853727,9.3650506,0.4966977352201233
DAU,5,GUMNet_Patch,5,14.2403316,0.16894313244491463,21.4274034,0.4091015434904878,8.51374,0.09716374323789725,9.867769,0.11326129091839006
DAU,5,GUMNet_Wavelet,5,13.8180436,0.40980339281697015,20.6549622,1.051901933154987,8.21238,0.2501314194578519,9.4972972,0.33310106263670175
DAU,5,GUMNet_iTrans,5,14.190628,0.6131356660434122,20.792741799999998,1.056417144727735,8.51946,0.37618882625617694,9.7640668,0.5946140646475655
DAU,5,NBEATS,5,14.736236600000002,0.5065778330274626,22.3154216,0.6853951828819629,8.80922,0.31053123353376255,11.6037818,0.42977766786351285
DAU,5,NHits,5,14.2900182,0.6543610170224845,21.621926,1.051004664441362,8.518899999999999,0.39144718673149204,11.184735,0.5311727754003401
DAU,5,PatchTST,5,13.957524799999998,0.11604021975030852,21.028610399999998,0.22101703337028075,8.261320000000001,0.06743008972261531,10.8805628,0.11377434643055548
DAU,5,TFT,5,14.528410400000002,0.23157187671174603,22.0808824,0.5688519096731607,8.68334,0.15290723658479946,11.3222082,0.24526227387064634
DAU,5,TimesNet,1,14.4594,,22.302675,,8.6547,,11.335805,
DAU,5,iTransformer,1,13.431711,,20.074351,,8.045,,10.405053,
DAU,7,DLinear,5,11.638715,0.17902197580883755,20.170812,0.30666240026208025,7.48298,0.10379984104034062,8.962669600000002,0.16600906234239163
DAU,7,GUMNetHet,5,11.727102200000001,0.25363164905074453,20.6198854,0.3049329402348984,7.48222,0.17753669198224908,8.5316086,0.1894210750927681
DAU,7,GUMNet_Adaptive,5,12.012621,0.562933670065577,20.8524182,1.0203624547307684,7.673640000000001,0.3616791990148179,8.635782,0.4817704264315112
DAU,7,GUMNet_Decomp,5,11.8881248,0.32249241634757847,20.534420599999997,0.4957576354563795,7.627719999999999,0.19476477350896884,8.5237706,0.2679345710528968
DAU,7,GUMNet_Fusion,5,11.5277108,0.2704532812847721,20.1798954,0.22050008513671884,7.38124,0.16469038526884325,8.4139432,0.15236259425528265
DAU,7,GUMNet_Mamba,5,11.729738600000001,0.19925129456743806,20.580503200000003,0.23581739720321643,7.50638,0.13057002718847832,8.4542394,0.11475899256180354
DAU,7,GUMNet_Patch,5,11.835618,0.39292073047626297,20.5937618,0.6515691552592094,7.58928,0.24966422851501946,8.5568418,0.33494371298354036
DAU,7,GUMNet_Wavelet,5,12.3802966,0.4937632501612493,21.756034,1.1082440999082732,7.869079999999999,0.2750376192450773,8.8193492,0.24936688491798567
DAU,7,GUMNet_iTrans,5,11.6749734,0.22771955888175163,20.3948634,0.3998956102919876,7.454420000000001,0.10877224829891104,8.278174799999999,0.30919793113748334
DAU,7,NBEATS,5,11.8508916,0.19933664521432123,20.6004412,0.25111103613780095,7.69814,0.12160803016248556,9.1433142,0.14829621825994072
DAU,7,NHits,5,11.7651674,0.24396246404990218,20.3410398,0.5048475336729888,7.6680399999999995,0.14240699772131987,9.050510599999999,0.24950477451403633
DAU,7,PatchTST,5,11.5738588,0.15107826647039577,19.9216688,0.19331075905701608,7.4978,0.11998501989831883,8.8291722,0.11163081938559784
DAU,7,TFT,5,12.280178000000001,0.3005737106393372,20.704888599999997,0.4017479922691592,8.043800000000001,0.19809876324702283,9.2430502,0.23557614716626113
DAU,7,TimesNet,1,11.970197,,21.383021,,7.8126,,9.231157,
DAU,7,iTransformer,1,11.632145,,20.181689,,7.4963,,8.933548,
DAU,10,DLinear,5,12.029217599999999,0.09649526058206143,22.5840774,0.17542155249512376,8.10588,0.06616567841411462,9.3113822,0.07713606440699458
DAU,10,GUMNetHet,5,11.615619800000001,0.24291763606765943,21.349667,0.40080977614262375,7.860640000000001,0.17742093450323143,8.425438199999999,0.16646322101052827
DAU,10,GUMNet_Adaptive,5,11.8036604,0.21128551649202051,21.5369224,0.2619972521226138,7.963559999999999,0.1362536164657655,8.3929538,0.10616463258637494
DAU,10,GUMNet_Decomp,5,11.7566456,0.17790549442414613,21.758249,0.6726618553430095,7.94106,0.1285456261410714,8.501103,0.14038339681743012
DAU,10,GUMNet_Fusion,5,11.9245076,0.25065098933437285,21.7644102,0.6001026628575297,8.02158,0.16051472518121232,8.288902799999999,0.2388210855121463
DAU,10,GUMNet_Mamba,5,11.8453374,0.19691874277046353,21.690231,0.363819438614816,7.995279999999999,0.14771199003466173,8.5250642,0.19877051205649154
DAU,10,GUMNet_Patch,5,11.9105066,0.3298138669731766,22.0275494,0.8524974795008489,8.040600000000001,0.20323709061094158,8.534852,0.19600516398426904
DAU,10,GUMNet_Wavelet,5,11.7718852,0.33874821240222114,21.5983822,0.5601927335205269,7.94638,0.22609004179751083,8.4770434,0.2247748158586726
DAU,10,GUMNet_iTrans,5,11.8931014,0.10658096456356553,21.7892504,0.33876887483991264,8.02088,0.08567261522797205,8.4137234,0.17208771166559236
DAU,10,NBEATS,5,11.8778422,0.3313400034401221,22.1873932,0.6118819297505046,8.042860000000001,0.2074780301622317,9.1621928,0.27478294127674674
DAU,10,NHits,5,11.8392582,0.03722567111147911,21.8836856,0.11019413059596238,8.0049,0.044894320353470143,9.109449399999999,0.03381558775624073
DAU,10,PatchTST,5,11.7835222,0.13324811974545808,21.6187834,0.15280437280817508,7.96384,0.08729033738049168,9.073864,0.105523978746539
DAU,10,TFT,5,11.9122226,0.5187679106202499,21.4751524,0.40629014713108613,8.1398,0.35281050863034097,8.8988914,0.36707224962846213
DAU,10,TimesNet,1,12.885083,,23.553403,,8.7589,,9.984276,
DAU,10,iTransformer,1,11.729006,,21.828626,,7.8996,,8.995736,
DAU,20,DLinear,5,13.188767000000002,0.20005001820169876,26.8639246,0.21651019720396533,9.21564,0.1479477711897005,10.3680144,0.15332875037089422
DAU,20,GUMNetHet,5,13.2393114,0.3890821915332288,26.6823568,0.5298613301937586,9.27154,0.2847197797835617,10.094110599999999,0.2169743346096494
DAU,20,GUMNet_Adaptive,5,13.5847554,0.3459885971297318,27.276514199999998,0.7968690182230079,9.44064,0.173643565962002,10.0951918,0.47446294464078015
DAU,20,GUMNet_Decomp,5,13.2100886,0.23485515035293675,26.4433806,0.43965038433544074,9.33384,0.1646088940488944,10.0202174,0.14197344594782488
DAU,20,GUMNet_Fusion,5,13.6151132,0.2732052435362465,27.4130442,0.576132883022832,9.52646,0.17035845444239076,10.0660944,0.06384034063427356
DAU,20,GUMNet_Mamba,5,13.3618786,0.24628025044408272,26.590752600000002,0.17335353832789158,9.43964,0.22555454550950635,10.034646,0.0867574668976679
DAU,20,GUMNet_Patch,5,13.1620002,0.12668909741647064,26.4232802,0.1531213507392115,9.26704,0.10975911351682784,10.120028999999999,0.05377032192111192
DAU,20,GUMNet_Wavelet,5,13.4875436,0.24187921025751632,26.6896908,0.3350821021364753,9.50454,0.1584853084673784,10.2190622,0.13529284870125322
DAU,20,GUMNet_iTrans,5,13.9902422,0.31122149285549,27.885046799999998,0.7535738918713946,9.75202,0.20590263961396904,10.3077416,0.330181060927638
DAU,20,NBEATS,5,13.5256948,0.28459786983250557,27.3407882,0.6283734844534744,9.54572,0.2040421329039664,10.5345138,0.21402620908828032
DAU,20,NHits,5,13.616007200000002,0.36089316240017605,27.152853800000003,0.7075128742264695,9.66468,0.29418052620797325,10.4950308,0.2785896556598973
DAU,20,PatchTST,5,13.486072000000002,0.3371146755764272,26.856733000000002,0.5498413514792239,9.54012,0.27328439765196993,10.4731904,0.3274715896750439
DAU,20,TFT,5,14.904402,0.5061771928203599,28.051517,0.7913758875502841,10.66624,0.4069946473849509,11.150188400000001,0.3935043505176268
DAU,20,TimesNet,1,16.647706,,31.8049,,11.7138,,13.098306,
DAU,60,DLinear,6,14.643702166666666,1.9377327704946743,31.378576166666665,4.15924018017822,11.26845,1.3432898521912533,11.787774833333332,1.752077060397791
DAU,60,GUMNetHet,5,15.096922000000001,0.24070694812053126,33.5422792,0.30114099421981894,11.586960000000001,0.27747099488054666,12.127303999999999,0.09481968326513249
DAU,60,GUMNet_Adaptive,5,15.0454246,0.27734048438390696,33.3124124,0.3003972787681365,11.53876,0.3017527100126855,12.3117512,0.14221622399255257
DAU,60,GUMNet_Decomp,5,15.5307092,0.21995315696006693,33.6774524,0.3339844036976897,12.13856,0.2444717938740586,12.2913606,0.18531638455031427
DAU,60,GUMNet_Fusion,5,14.6554532,0.7875790513238656,32.834183,2.044096544768006,11.29894,0.5540461379704764,11.843111400000002,0.8886530378585893
DAU,60,GUMNet_Mamba,5,15.822817,0.5914703731367278,34.0985784,1.2052830393890053,12.246500000000001,0.4183896748247973,12.4983108,0.4871210152900405
DAU,60,GUMNet_Patch,5,15.084604000000002,0.33865610646642796,33.4546104,0.4859319563830927,11.59558,0.3122735771723252,12.106263799999999,0.24899746732788255
DAU,60,GUMNet_Wavelet,5,15.349328199999999,0.3412928598845866,34.054697,1.1872510868474675,11.81914,0.23438046633625464,12.0332974,0.3466265703048463
DAU,60,GUMNet_iTrans,5,14.903910200000002,0.24034346805082896,33.1543006,0.2273663252403496,11.418600000000001,0.23597304930860205,12.0519274,0.12936173829150627
DAU,60,NBEATS,5,15.751437,0.27972175294835366,34.4227706,0.3519564709098278,12.01016,0.2721268141877972,12.8156374,0.18814805923739866
DAU,60,NHits,5,16.713393,0.2641535479763617,35.339097200000005,0.6374901573190737,12.97764,0.24739414503985377,13.262495000000001,0.1991593465042505
DAU,60,PatchTST,5,15.690127,0.4006894370226135,33.4931854,0.8464769640059925,12.1421,0.3118032632927374,12.62287,0.3832914636970155
DAU,60,TFT,5,16.4669524,0.5899534912798635,34.4494428,1.4888900596574266,12.75722,0.4808617805565339,13.0661838,0.6026798394111923
DAU,60,TimesNet,1,22.577948,,53.561344,,17.3758,,19.017367,
XANG,1,DLinear,5,4.096812,0.0912910318459596,6.1621673999999995,0.1561387841482698,3.4267200000000004,0.07207206116103515,3.0568704,0.06678256282368918
XANG,1,GUMNetHet,5,4.016039,0.06893672575993151,6.1238594,0.12792789242499106,3.3511800000000003,0.04769027154462427,2.768374,0.06368047251709111
XANG,1,GUMNet_Adaptive,5,4.0320182,0.2712234256101419,6.2172686,0.2931402715549332,3.35092,0.21240897344509727,2.8310608,0.1989454576453056
XANG,1,GUMNet_Decomp,5,3.9326256,0.09592741107368641,6.1058167999999995,0.3015271344957201,3.2889600000000003,0.07871945756926939,2.6983728,0.05337695385838347
XANG,1,GUMNet_Fusion,5,4.212101,0.1491471451335896,6.3969612,0.3347157626863429,3.4862,0.12063552544752307,2.8637026,0.10793781859617128
XANG,1,GUMNet_Mamba,5,4.015245800000001,0.06438550997856604,6.1101232,0.20964399585177723,3.35458,0.04295971368619682,2.7423074,0.04629942886580782
XANG,1,GUMNet_Patch,5,4.0494748000000005,0.09161096454136915,6.249153,0.1660533083651152,3.38072,0.07349256424972544,2.7933060000000003,0.07409849560551153
XANG,1,GUMNet_Wavelet,5,4.0128734,0.04315752647337394,6.113753,0.12464466433225295,3.34964,0.0369943644356814,2.7636846,0.041366909357601206
