Baseline_Model,Champion_Model,Target,Horizon,Cliff_Delta,A12,Magnitude
CoST,GUMNet_Fusion,XANG,1,0.0017259999999998943,0.500863,negligible
TimeMachine,GUMNet_Fusion,XANG,1,0.01008600000000004,0.505043,negligible
S_Mamba,GUMNet_Fusion,XANG,1,-0.013588000000000044,0.493206,negligible
MambaFormer,GUMNet_Fusion,XANG,1,0.027724000000000082,0.513862,negligible
BiMamba,GUMNet_Fusion,XANG,1,0.011441999999999952,0.505721,negligible
Chronos,GUMNet_Fusion,XANG,1,0.016518000000000033,0.508259,negligible
TimesFM,GUMNet_Fusion,XANG,1,-0.013440000000000007,0.49328,negligible
Moirai,GUMNet_Fusion,XANG,1,-0.020947999999999967,0.489526,negligible
Lag_Llama,GUMNet_Fusion,XANG,1,0.027538000000000062,0.513769,negligible
TEMPO,GUMNet_Fusion,XANG,1,0.013983999999999996,0.506992,negligible
GPT4TS,GUMNet_Fusion,XANG,1,-0.01319999999999999,0.4934,negligible
Time_MoE,GUMNet_Fusion,XANG,1,0.010034000000000098,0.505017,negligible
Gated_TabNet,GUMNet_Fusion,XANG,1,0.01160199999999989,0.505801,negligible
DLinear,GUMNet_Fusion,XANG,3,0.004801550862156834,0.5024007754310784,negligible
RLinear,GUMNet_Fusion,XANG,3,0.000691766146311501,0.5003458830731558,negligible
LTSF_Linear,GUMNet_Fusion,XANG,3,0.01868584838281806,0.509342924191409,negligible
NBEATS,GUMNet_Fusion,XANG,3,0.01554127129884697,0.5077706356494235,negligible
NHits,GUMNet_Fusion,XANG,3,0.023036424854606663,0.5115182124273033,negligible
PatchTST,GUMNet_Fusion,XANG,3,-0.020926436077951194,0.4895367819610244,negligible
TFT,GUMNet_Fusion,XANG,3,0.0027844097541067647,0.5013922048770534,negligible
Autoformer,GUMNet_Fusion,XANG,3,0.0036261605958576304,0.5018130802979288,negligible
FedFormer,GUMNet_Fusion,XANG,3,-0.013327211509029713,0.49333639424548514,negligible
Informer,GUMNet_Fusion,XANG,3,-0.005254565860626448,0.4973727170696868,negligible
Reformer,GUMNet_Fusion,XANG,3,0.01384756657483921,0.5069237832874196,negligible
iTransformer,GUMNet_Fusion,XANG,3,-0.0043566982960921985,0.4978216508519539,negligible
UniTS,GUMNet_Fusion,XANG,3,-0.003958779716355498,0.49802061014182225,negligible
TimeXer,GUMNet_Fusion,XANG,3,-0.02125497398224674,0.48937251300887663,negligible
Crossformer,GUMNet_Fusion,XANG,3,-0.01218651158045092,0.49390674420977454,negligible
CARD,GUMNet_Fusion,XANG,3,0.0042158963371083935,0.5021079481685542,negligible
TimesNet,GUMNet_Fusion,XANG,3,0.012653810835629109,0.5063269054178146,negligible
TimeMixer,GUMNet_Fusion,XANG,3,0.01954290378532808,0.509771451892664,negligible
TTM,GUMNet_Fusion,XANG,3,0.005817773696561668,0.5029088868482808,negligible
FITS,GUMNet_Fusion,XANG,3,0.014272013059891897,0.507136006529946,negligible
CoST,GUMNet_Fusion,XANG,3,0.012627282930313344,0.5063136414651567,negligible
TimeMachine,GUMNet_Fusion,XANG,3,0.010894806652382405,0.5054474033261912,negligible
S_Mamba,GUMNet_Fusion,XANG,3,0.008042036526884955,0.5040210182634425,negligible
MambaFormer,GUMNet_Fusion,XANG,3,-0.008419549025609596,0.4957902254871952,negligible
BiMamba,GUMNet_Fusion,XANG,3,0.009062340577492112,0.5045311702887461,negligible
Chronos,GUMNet_Fusion,XANG,3,0.008929701050913064,0.5044648505254565,negligible
TimesFM,GUMNet_Fusion,XANG,3,0.01631466176920715,0.5081573308846036,negligible
Moirai,GUMNet_Fusion,XANG,3,-0.015263748597081905,0.49236812570145905,negligible
Lag_Llama,GUMNet_Fusion,XANG,3,-0.010372410978471636,0.4948137945107642,negligible
TEMPO,GUMNet_Fusion,XANG,3,0.007317620650953982,0.503658810325477,negligible
GPT4TS,GUMNet_Fusion,XANG,3,0.008613406795225043,0.5043067033976125,negligible
Time_MoE,GUMNet_Fusion,XANG,3,0.018063462911947825,0.5090317314559739,negligible
Gated_TabNet,GUMNet_Fusion,XANG,3,0.02498724619936743,0.5124936230996837,negligible
DLinear,GUMNet_Fusion,XANG,5,0.055849999999999955,0.527925,negligible
RLinear,GUMNet_Fusion,XANG,5,0.05056400000000005,0.525282,negligible
LTSF_Linear,GUMNet_Fusion,XANG,5,0.0494460000000001,0.524723,negligible
NBEATS,GUMNet_Fusion,XANG,5,0.0020599999999999508,0.50103,negligible
NHits,GUMNet_Fusion,XANG,5,0.029570000000000096,0.514785,negligible
PatchTST,GUMNet_Fusion,XANG,5,0.0097799999999999,0.50489,negligible
