Target,Horizon,Model,Loss_Type,MCS_pvalue,In_MCS
XANG,3,Time_MoE,mae,1.0,1
XANG,3,TimesFM,mae,1.0,1
XANG,3,TimesNet,mae,1.0,1
XANG,3,UniTS,mae,1.0,1
XANG,3,iTransformer,mae,1.0,1
XANG,3,Autoformer,mse,1.0,1
XANG,3,BiMamba,mse,1.0,1
XANG,3,CARD,mse,1.0,1
XANG,3,Chronos,mse,1.0,1
XANG,3,CoST,mse,1.0,1
XANG,3,Crossformer,mse,1.0,1
XANG,3,DLinear,mse,1.0,1
XANG,3,FITS,mse,1.0,1
XANG,3,FedFormer,mse,0.021,0
XANG,3,GPT4TS,mse,1.0,1
XANG,3,GUMNet,mse,1.0,1
XANG,3,GUMNetHet,mse,1.0,1
XANG,3,GUMNet_Adaptive,mse,1.0,1
XANG,3,GUMNet_Decomp,mse,1.0,1
XANG,3,GUMNet_Diffusion,mse,0.003,0
XANG,3,GUMNet_Fourier,mse,1.0,1
XANG,3,GUMNet_Fusion,mse,1.0,1
XANG,3,GUMNet_Graph,mse,1.0,1
XANG,3,GUMNet_Mamba,mse,1.0,1
XANG,3,GUMNet_MoE_Sparse,mse,1.0,1
XANG,3,GUMNet_Patch,mse,1.0,1
XANG,3,GUMNet_RL,mse,1.0,1
XANG,3,GUMNet_Wavelet,mse,1.0,1
XANG,3,GUMNet_iTrans,mse,1.0,1
XANG,3,Gated_TabNet,mse,1.0,1
XANG,3,Informer,mse,1.0,1
XANG,3,LTSF_Linear,mse,1.0,1
XANG,3,Lag_Llama,mse,1.0,1
XANG,3,MambaFormer,mse,1.0,1
XANG,3,Moirai,mse,1.0,1
XANG,3,NBEATS,mse,1.0,1
XANG,3,NHits,mse,1.0,1
XANG,3,PatchTST,mse,1.0,1
XANG,3,RLinear,mse,1.0,1
XANG,3,Reformer,mse,1.0,1
XANG,3,S_Mamba,mse,1.0,1
XANG,3,TEMPO,mse,1.0,1
XANG,3,TFT,mse,1.0,1
XANG,3,TTM,mse,1.0,1
XANG,3,TimeMachine,mse,1.0,1
XANG,3,TimeMixer,mse,1.0,1
XANG,3,TimeXer,mse,1.0,1
XANG,3,Time_MoE,mse,1.0,1
XANG,3,TimesFM,mse,1.0,1
XANG,3,TimesNet,mse,1.0,1
XANG,3,UniTS,mse,1.0,1
XANG,3,iTransformer,mse,1.0,1
XANG,5,Autoformer,mae,0.003,0
XANG,5,BiMamba,mae,0.0,0
XANG,5,CARD,mae,1.0,1
XANG,5,Chronos,mae,0.043,0
XANG,5,CoST,mae,0.058,0
XANG,5,Crossformer,mae,0.01,0
XANG,5,DLinear,mae,0.003,0
XANG,5,FITS,mae,0.005,0
XANG,5,FedFormer,mae,1.0,1
XANG,5,GPT4TS,mae,0.008,0
XANG,5,GUMNet,mae,1.0,1
XANG,5,GUMNetHet,mae,0.046,0
XANG,5,GUMNet_Adaptive,mae,1.0,1
XANG,5,GUMNet_Decomp,mae,1.0,1
XANG,5,GUMNet_Diffusion,mae,0.032,0
XANG,5,GUMNet_Fourier,mae,1.0,1
XANG,5,GUMNet_Fusion,mae,1.0,1
XANG,5,GUMNet_Graph,mae,1.0,1
XANG,5,GUMNet_Mamba,mae,1.0,1
XANG,5,GUMNet_MoE_Sparse,mae,1.0,1
XANG,5,GUMNet_Patch,mae,1.0,1
XANG,5,GUMNet_RL,mae,1.0,1
XANG,5,GUMNet_Wavelet,mae,1.0,1
XANG,5,GUMNet_iTrans,mae,1.0,1
XANG,5,Gated_TabNet,mae,0.012,0
XANG,5,Informer,mae,0.008,0
XANG,5,LTSF_Linear,mae,0.011,0
XANG,5,Lag_Llama,mae,1.0,1
XANG,5,MambaFormer,mae,1.0,1
XANG,5,Moirai,mae,1.0,1
XANG,5,NBEATS,mae,1.0,1
XANG,5,NHits,mae,0.044,0
XANG,5,PatchTST,mae,1.0,1
XANG,5,RLinear,mae,0.016,0
XANG,5,Reformer,mae,0.008,0
XANG,5,S_Mamba,mae,1.0,1
XANG,5,TEMPO,mae,0.008,0
