,Autoformer,Chronos,DLinear,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,LTSF_Linear,Moirai,PatchTST,RLinear,TFT,TTM,TimeMixer,TimesFM,TimesNet,iTransformer
GUMNet_Graph,0.22558521240693574,0.20239948430322974,0.009023768186441572,0.18471786107222954,0.3690788018563085,0.6302999967886986,0.27338183707638275,0.024328889546174626,0.03028406303807385,0.18786348972680322,1.0,0.016914638096189982,0.06304651270157158,0.032851471777724184,0.0597452948537589,0.8660000430864692,0.4724624301571754,0.00026201696446959133,0.4156039914975205,0.00023033570962560646,0.016980432922790722,2.607499127726953e-07,0.024695602446983544,0.051808315394105575,0.018040420421788106,0.04250731823165532,0.1306669657292412
GUMNet_Mamba,0.6818243442623151,0.28660698686692143,0.4349836000120142,0.5096719265595704,0.028578094242857954,0.06664860854842747,0.25501314902593686,0.6071787182210486,0.9579424195317943,0.5918409444675299,0.016914638096189982,1.0,0.6458036679270283,0.41376009529716606,0.882494531653196,0.03209450141759729,0.08576995510967378,0.0678593116622237,0.4785541450201487,0.03051815000518321,0.9816086035690041,7.879683200595622e-05,0.5227603966767971,0.7749954597596334,0.37638333122269163,0.38534009080144216,0.4541372024699015
GUMNet_MoE_Sparse,0.9268924094126261,0.495252444083782,0.20498500542103826,0.7302441534639517,0.09345446515980482,0.13088550954819,0.3889090691231061,0.4372145929960427,0.6536273525806093,0.8156309676517619,0.06304651270157158,0.6458036679270283,1.0,0.7474083764757657,0.6770998036388143,0.07798251717602245,0.13841896315080748,0.012496056505043152,0.6454818879403212,0.013119650529501259,0.6965367526289672,0.00010421245461800233,0.3314487364691918,0.519429687174914,0.2167537297541675,0.2584185257480338,0.7266501225682607
GUMNet_Patch,0.8375618036070867,0.670945257861308,0.12412775646013618,0.9813492217114193,0.01696740028016719,0.12309729162715022,0.5456779999412165,0.2654034175589173,0.2884028281956632,0.9570854629662873,0.032851471777724184,0.41376009529716606,0.7474083764757657,1.0,0.44090114302895644,0.1183376673894565,0.3788074737255305,0.0053741502270530095,0.8220772393025864,0.000790563823655166,0.3607453435541117,4.629894205132601e-06,0.17011230987821646,0.33361677009678603,0.10865860771239944,0.17498037556679025,0.9983146425472451
GUMNet_RL,0.6221524856911889,0.30699091485231156,0.5654975574146714,0.5266426116595753,0.07384128602616191,0.08057901175333915,0.24577305594760634,0.6690516938838238,0.9374090325219331,0.5726236325038145,0.0597452948537589,0.882494531653196,0.6770998036388143,0.44090114302895644,1.0,0.018687682452085852,0.19179714895158972,0.150588497187238,0.4400829433681801,0.0651826393782644,0.9165022581200977,0.0003358367804255913,0.5554061647311641,0.8840151466641553,0.49655165770077403,0.4223698211797964,0.44485605454404387
GUMNet_Wavelet,0.08623141069162998,0.15757181983804824,0.0005661758169408504,0.19744747801214357,0.7471541243835182,0.7638178612906645,0.28884153334871465,0.015134564501790626,0.012940173333360061,0.21730935356522885,0.8660000430864692,0.03209450141759729,0.07798251717602245,0.1183376673894565,0.018687682452085852,1.0,0.5747305808353493,6.69132568464903e-06,0.31132933282995223,0.00012444183967508238,0.03303953422299899,1.1207922501199619e-07,0.006378859330313791,0.02266046069902594,0.0030197104948683773,0.0076781666922431935,0.08047892791379607
GUMNet_iTrans,0.3928395052308331,0.5366301971761347,0.04838695975967222,0.484209295099022,0.760603302963389,0.7707242734097219,0.6643374723246547,0.10122241164072343,0.056780636835852105,0.3904874655511543,0.4724624301571754,0.08576995510967378,0.13841896315080748,0.3788074737255305,0.19179714895158972,0.5747305808353493,1.0,0.002870612682884799,0.6973995227492105,0.0010489357609659855,0.1242480581793537,2.7303775100850913e-06,0.04291476173467346,0.15135303310938975,0.031947690738188594,0.07016933348228793,0.3598388233410321
LTSF_Linear,0.000496574005941941,0.00015722298058684636,0.05372293533206518,0.002591601356328521,1.3780729648082968e-05,6.836532007903351e-05,0.0016879228880692931,0.16020912908522789,0.08017568110986373,0.03428266884200859,0.00026201696446959133,0.0678593116622237,0.012496056505043152,0.0053741502270530095,0.150588497187238,6.69132568464903e-06,0.002870612682884799,1.0,0.00042478145688318314,0.38971037218495264,0.03253026279848492,0.0012617641127457002,0.30942658340945095,0.012661842321316508,0.274564892005857,0.5489688747358323,0.0005801695773288706
Moirai,0.528548280248716,0.9877631302562999,0.031436145130465,0.8028135230157964,0.5082070110490937,0.5350343176678671,0.8791516508722435,0.16188246795902828,0.45357536333733406,0.7948824712951215,0.4156039914975205,0.4785541450201487,0.6454818879403212,0.8220772393025864,0.4400829433681801,0.31132933282995223,0.6973995227492105,0.00042478145688318314,1.0,0.0009618675864078163,0.40820317582519716,1.4594858632754892e-07,0.14477954613537003,0.14075072509601672,0.04884930829757361,0.002967302184011311,0.783395527153588
PatchTST,0.0008437481008791714,7.380359352548993e-07,0.07012027438444313,0.00041386616882821414,4.240131729060792e-06,0.00012127064963429746,0.00032948812043520626,0.10245260378717269,0.01110173242106094,0.012918863313899909,0.00023033570962560646,0.03051815000518321,0.013119650529501259,0.000790563823655166,0.0651826393782644,0.00012444183967508238,0.0010489357609659855,0.38971037218495264,0.0009618675864078163,1.0,0.00388468488719651,0.007734978567715656,0.09395177439010904,0.00287736251484505,0.03035269125509865,0.20523345617408895,1.830287937720776e-05
RLinear,0.6378376936231271,0.1810656322580395,0.4267442378689097,0.4720935796050161,0.0088804260204971,0.018580758680329268,0.17949005896683068,0.6154391413723608,0.9734248861747363,0.6166011077309088,0.016980432922790722,0.9816086035690041,0.6965367526289672,0.3607453435541117,0.9165022581200977,0.03303953422299899,0.1242480581793537,0.03253026279848492,0.40820317582519716,0.00388468488719651,1.0,1.6683945749385032e-06,0.40807892047633776,0.750325437626266,0.3422304373090601,0.3697450403924334,0.3122013643457624
TFT,9.846491775045152e-06,1.3193723786830702e-06,0.0003697853161812592,4.023424452026525e-05,1.209051740946876e-07,1.3484601573132693e-06,2.9176676423769976e-06,0.00029685443988802795,0.0003351674530620574,0.00010794667274049985,2.607499127726953e-07,7.879683200595622e-05,0.00010421245461800233,4.629894205132601e-06,0.0003358367804255913,1.1207922501199619e-07,2.7303775100850913e-06,0.0012617641127457002,1.4594858632754892e-07,0.007734978567715656,1.6683945749385032e-06,1.0,0.0008299827483939648,1.779881749652823e-05,0.00041546488100374646,0.0012681775496503622,4.1426050483295285e-06
TTM,0.2244468982511767,0.04493864119191393,0.984614658435236,0.1978688079573354,0.012702916505982209,0.007745306329415058,0.07798777568178128,0.8670510099470516,0.444294820651298,0.2095965826114099,0.024695602446983544,0.5227603966767971,0.3314487364691918,0.17011230987821646,0.5554061647311641,0.006378859330313791,0.04291476173467346,0.30942658340945095,0.14477954613537003,0.09395177439010904,0.40807892047633776,0.0008299827483939648,1.0,0.6979324724606726,0.8541298740333851,0.7138215001000974,0.07715614120743375
TimeMixer,0.2929510223266323,0.11285764327576597,0.4739850390143221,0.29162833833137913,0.03279715682273965,0.05195007629534398,0.1776261624224953,0.784846168263791,0.8184409539785049,0.48642745232665785,0.051808315394105575,0.7749954597596334,0.519429687174914,0.33361677009678603,0.8840151466641553,0.02266046069902594,0.15135303310938975,0.012661842321316508,0.14075072509601672,0.00287736251484505,0.750325437626266,1.779881749652823e-05,0.6979324724606726,1.0,0.47291820570005694,0.3030283494294663,0.22974854489268814
TimesFM,0.08440381123491303,0.002652884463456351,0.89121181015382,0.06569218375632846,0.003607037986930184,0.003569637258675762,0.03399648156340773,0.7544564019424636,0.3695569067818618,0.18882230438570913,0.018040420421788106,0.37638333122269163,0.2167537297541675,0.10865860771239944,0.49655165770077403,0.0030197104948683773,0.031947690738188594,0.274564892005857,0.04884930829757361,0.03035269125509865,0.3422304373090601,0.00041546488100374646,0.8541298740333851,0.47291820570005694,1.0,0.7750971259689545,0.018709031302092338
TimesNet,0.04355785987097427,0.049097276240770205,0.6467194249853563,0.1144677174527462,0.028536081345663877,0.03707787842664656,0.07420133932197714,0.5436659097767804,0.396877639432756,0.20190623645036765,0.04250731823165532,0.38534009080144216,0.2584185257480338,0.17498037556679025,0.4223698211797964,0.0076781666922431935,0.07016933348228793,0.5489688747358323,0.002967302184011311,0.20523345617408895,0.3697450403924334,0.0012681775496503622,0.7138215001000974,0.3030283494294663,0.7750971259689545,1.0,0.11060087494754778
iTransformer,0.8018926048259767,0.36811290803148466,0.05540481682396159,0.9757406533774688,0.051308173571114946,0.12384581100849057,0.49797257805162554,0.2724401789299393,0.23099324286926892,0.952036283700656,0.1306669657292412,0.4541372024699015,0.7266501225682607,0.9983146425472451,0.44485605454404387,0.08047892791379607,0.3598388233410321,0.0005801695773288706,0.783395527153588,1.830287937720776e-05,0.3122013643457624,4.1426050483295285e-06,0.07715614120743375,0.22974854489268814,0.018709031302092338,0.11060087494754778,1.0
