,Autoformer,Chronos,DLinear,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,LTSF_Linear,Moirai,NBEATS,NHits,PatchTST,RLinear,TFT,TTM,TimeMixer,TimesFM,TimesNet,iTransformer
GUMNet_Graph,0.7351263999388429,0.9735759292787587,0.18750016667271807,0.7564650357634526,0.7812502389410545,0.4886888418865756,0.9429782580520372,0.8336681390704879,0.6550280914874631,0.09997383290375961,1.0,0.8765261615888185,0.1156665546692166,0.10381531648895637,0.27825288456173713,0.9280212391743576,0.8480089413646434,0.2170488519375342,0.863111659780218,0.8193474750120999,0.6726113068406732,0.5218279705192517,0.49956715331200297,0.46044216708983665,0.7953250760932651,0.43399386907777115,0.7918382207159553,0.8912551364041177,0.5080013308980882
GUMNet_Mamba,0.8878927870691453,0.8678363923570274,0.20575193238397138,0.8271587681023238,0.9348675450391983,0.4794156895231123,0.9636859118640031,0.6145526310846581,0.725252152777371,0.11960242992922754,0.8765261615888185,1.0,0.04636775893871947,0.020779435223540643,0.2559654523013295,0.9694948537545509,0.8956880511408283,0.3043466223078568,0.7904454416353479,0.6529864510274264,0.7225802555825931,0.6139068481869545,0.4362023857765347,0.34336094417428265,0.7227047094698009,0.4857926345940513,0.9637154150101692,0.8148939388321548,0.3768527419930434
GUMNet_MoE_Sparse,0.02707061116164189,0.16154670499923096,0.015857578186670773,0.05598999593053544,0.05711640076972779,0.028464482261791657,0.035099325737444564,0.04856985113258072,0.08163031961615252,0.031690944978515434,0.1156665546692166,0.04636775893871947,1.0,0.4700794627062179,0.0017372666202806197,0.0904100673655377,0.2210460644428096,0.017159435066826267,0.1209193546834777,0.07075144367295572,0.05358741840157255,0.2301444600771616,0.01575589595858151,0.0044641816029638015,0.10367302103624865,0.020065557679867396,0.01819972636190892,0.22581955174623358,0.2792274428274424
GUMNet_Patch,0.06572958253154826,0.11626678973310267,0.0013689734477400073,0.08423934980879455,0.024677891161374976,0.1103274712377853,0.15508600655543003,0.0854409114573993,0.08817644209492159,0.024042016448577286,0.10381531648895637,0.020779435223540643,0.4700794627062179,1.0,0.008270454285335571,0.16169081117635264,0.28462236835773913,0.0048037378678218445,0.131724891667079,0.05634130439859475,0.033808693199859574,0.2822218418314024,0.023311117831352313,0.0093918438050562,0.07358366839416419,0.007181674619412881,0.011672705733866806,0.2580828632579679,0.4297858955996561
GUMNet_RL,0.17637670361161106,0.37454319412425807,0.7923984880799775,0.2975918706965779,0.19828171043771858,0.9534718888578047,0.12641015856919968,0.08637582055470516,0.39886251791423044,0.41595157045195186,0.27825288456173713,0.2559654523013295,0.0017372666202806197,0.008270454285335571,1.0,0.09119921365663952,0.487465099600769,0.752106897554913,0.15406916096137313,0.10035646970414636,0.31572249969144184,0.20432661276512176,0.5336278062404496,0.36880831256495394,0.1922874717355607,0.44405356432202026,0.1552712992869032,0.25686858815169455,0.08058672840632686
GUMNet_Wavelet,0.8554920197844491,0.9283838701536946,0.3436510696032591,0.8077833064682514,0.9160837885277682,0.35706348288667655,0.9958902511252539,0.779181344510947,0.656011388994389,0.1118738879668697,0.9280212391743576,0.9694948537545509,0.0904100673655377,0.16169081117635264,0.09119921365663952,1.0,0.860662167777706,0.4222446414913663,0.8432519974088037,0.7860578856016431,0.7112123209882562,0.7197244285296851,0.48341540077027845,0.4239143881702818,0.8367034034854557,0.6577585969168318,0.9394662326796182,0.8608601265297202,0.5596945811583043
GUMNet_iTrans,0.9764804422387263,0.8467283499822205,0.575546923517885,0.9901386034948263,0.9240934499104039,0.6056568160781917,0.8782730829823249,0.7278067333353693,0.890463427498928,0.13976905873580403,0.8480089413646434,0.8956880511408283,0.2210460644428096,0.28462236835773913,0.487465099600769,0.860662167777706,1.0,0.6238752866634067,0.768805075964762,0.7175532635295723,0.9186979882987583,0.6717179330201732,0.7202533014516015,0.7568522087346787,0.7612677065454698,0.8685444145961667,0.918902334050681,0.7697274033728154,0.5371923761148887
LTSF_Linear,0.22033801795471208,0.2558557951957261,0.9086820275704708,0.4085009230994525,0.07466143848865237,0.8906743095221179,0.4413796169398796,0.11325882279468868,0.5364638181646746,0.2216336874117204,0.2170488519375342,0.3043466223078568,0.017159435066826267,0.0048037378678218445,0.752106897554913,0.4222446414913663,0.6238752866634067,1.0,0.04457130021186129,0.00860290054034274,0.4057201772727308,0.06663569039942474,0.7546721701862276,0.7074794879458883,0.048764537134881936,0.4198519372400482,0.16674003384893332,0.1867569565002256,0.06853647182185285
Moirai,0.5349427344326585,0.9164281079271492,0.05952866807435053,0.6265282966587846,0.6096155951874733,0.4329954069869495,0.8723967411499616,0.9231077739258464,0.5496747466516718,0.06630617212510703,0.863111659780218,0.7904454416353479,0.1209193546834777,0.131724891667079,0.15406916096137313,0.8432519974088037,0.768805075964762,0.04457130021186129,1.0,0.9094078572142752,0.5330816711921744,0.6660354116330152,0.3990849774040517,0.34090535418319745,0.940528006960867,0.29625303153939564,0.6200571438537041,0.9833236059536903,0.5835803264786537
NBEATS,0.3931964028270334,0.8516938974160637,0.0179166479351085,0.5231219692950122,0.39823182911069543,0.36186197066644477,0.7855096679930635,0.9856840084361167,0.44715473934734784,0.05617700900532596,0.8193474750120999,0.6529864510274264,0.07075144367295572,0.05634130439859475,0.10035646970414636,0.7860578856016431,0.7175532635295723,0.00860290054034274,0.9094078572142752,1.0,0.34421555167136697,0.7394066306214149,0.19831430719329668,0.17052666850721132,0.9554980710031045,0.1428645446022474,0.44732075302055474,0.9526263452900772,0.6077372350813857
NHits,0.8484520651135683,0.6660370139951282,0.3182618164020634,0.8835197144035241,0.658425157500838,0.586447197723472,0.7164092491650169,0.43448918579678875,0.9353056030045046,0.09998642607618402,0.6726113068406732,0.7225802555825931,0.05358741840157255,0.033808693199859574,0.31572249969144184,0.7112123209882562,0.9186979882987583,0.4057201772727308,0.5330816711921744,0.34421555167136697,1.0,0.3973695224856266,0.5896958643849559,0.6706806091617863,0.5052475333923923,0.86409130979005,0.7064377881361321,0.5445530097289994,0.3305054888664454
PatchTST,0.43152690486121115,0.4681133082360587,0.07676398247585836,0.49828249400679514,0.4336966622690501,0.3953887945460757,0.7335633401170363,0.8232138375650786,0.4160621594032672,0.07731587638705961,0.5218279705192517,0.6139068481869545,0.2301444600771616,0.2822218418314024,0.20432661276512176,0.7197244285296851,0.6717179330201732,0.06663569039942474,0.6660354116330152,0.7394066306214149,0.3973695224856266,1.0,0.2905670598616321,0.32165892125199846,0.564965378686789,0.2541581834892883,0.39334973322073497,0.7625897848737226,0.8385171158764724
RLinear,0.540815471941843,0.5090152028988539,0.7112365761169412,0.5092501976583872,0.4152418341812427,0.705275096557072,0.40571835741532714,0.21598373518460612,0.7173137824373401,0.17784045878553378,0.49956715331200297,0.4362023857765347,0.01575589595858151,0.023311117831352313,0.5336278062404496,0.48341540077027845,0.7202533014516015,0.7546721701862276,0.3990849774040517,0.19831430719329668,0.5896958643849559,0.2905670598616321,1.0,0.9419663953049897,0.32361683241081707,0.7935039904306773,0.40786285039941905,0.43715926740144573,0.19899805051188624
TFT,0.5323449661652615,0.5252815607414778,0.6330911079636761,0.550366688973668,0.4112177865237969,0.6820051334237589,0.4104486590234293,0.09092017270039898,0.7884681058470151,0.1848680890399308,0.46044216708983665,0.34336094417428265,0.0044641816029638015,0.0093918438050562,0.36880831256495394,0.4239143881702818,0.7568522087346787,0.7074794879458883,0.34090535418319745,0.17052666850721132,0.6706806091617863,0.32165892125199846,0.9419663953049897,1.0,0.30572146123792265,0.7669762845674455,0.35219021177535836,0.4285363181314321,0.13518673822676353
TTM,0.5616830176902263,0.8242570940535447,0.04005292152395268,0.5985050113915515,0.5732439549380053,0.4347881922677197,0.8440607539249818,0.9544249284425004,0.5399860817517466,0.07984716006073,0.7953250760932651,0.7227047094698009,0.10367302103624865,0.07358366839416419,0.1922874717355607,0.8367034034854557,0.7612677065454698,0.048764537134881936,0.940528006960867,0.9554980710031045,0.5052475333923923,0.564965378686789,0.32361683241081707,0.30572146123792265,1.0,0.1983632717303181,0.48030534196952424,0.9804109105834846,0.5278708742559468
TimeMixer,0.7077841680417218,0.47375090708307255,0.3255794924006008,0.7727919831578349,0.4788122386245519,0.6736082928247851,0.6762047178372721,0.19688939158153618,0.9485104414118315,0.1345039181861718,0.43399386907777115,0.4857926345940513,0.020065557679867396,0.007181674619412881,0.44405356432202026,0.6577585969168318,0.8685444145961667,0.4198519372400482,0.29625303153939564,0.1428645446022474,0.86409130979005,0.2541581834892883,0.7935039904306773,0.7669762845674455,0.1983632717303181,1.0,0.43443162551580805,0.44798728562804624,0.14082911168016898
TimesFM,0.8680079136962857,0.8009905670391864,0.11021741777510519,0.8181251657774937,0.9578766342863998,0.47683027741131445,0.9389165954188756,0.5455455058142613,0.706693082405248,0.10533312983779597,0.7918382207159553,0.9637154150101692,0.01819972636190892,0.011672705733866806,0.1552712992869032,0.9394662326796182,0.918902334050681,0.16674003384893332,0.6200571438537041,0.44732075302055474,0.7064377881361321,0.39334973322073497,0.40786285039941905,0.35219021177535836,0.48030534196952424,0.43443162551580805,1.0,0.7389176749228756,0.312240334577889
TimesNet,0.6538240314791337,0.9185391733039181,0.1951861361845173,0.7040784516175964,0.6742948338856469,0.45833822884142705,0.8795677810133318,0.9541968207420399,0.5745641642534145,0.04501180804578242,0.8912551364041177,0.8148939388321548,0.22581955174623358,0.2580828632579679,0.25686858815169455,0.8608601265297202,0.7697274033728154,0.1867569565002256,0.9833236059536903,0.9526263452900772,0.5445530097289994,0.7625897848737226,0.43715926740144573,0.4285363181314321,0.9804109105834846,0.44798728562804624,0.7389176749228756,1.0,0.6646338392570832
iTransformer,0.3754950043028247,0.5914458480043838,0.04172963029062138,0.40033755499793733,0.3402292498710118,0.31302458642262065,0.554121540319255,0.5937820613512561,0.33719011220450956,0.0631694802785836,0.5080013308980882,0.3768527419930434,0.2792274428274424,0.4297858955996561,0.08058672840632686,0.5596945811583043,0.5371923761148887,0.06853647182185285,0.5835803264786537,0.6077372350813857,0.3305054888664454,0.8385171158764724,0.19899805051188624,0.13518673822676353,0.5278708742559468,0.14082911168016898,0.312240334577889,0.6646338392570832,1.0
