,Autoformer,Chronos,DLinear,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,LTSF_Linear,Moirai,PatchTST,RLinear,TFT,TTM,TimeMixer,TimesFM,TimesNet,iTransformer
GUMNet_Graph,0.3659987788261194,0.2822229977813502,0.10026091429742334,0.9462412603936072,0.2738972683204415,0.24704694080457124,0.32897097234916917,0.3416810984611218,0.08248141670347464,0.7053808046333043,1.0,0.3242916965715088,0.4673823269887274,0.21685403968281114,0.9354477548753759,0.5736048491729737,0.6463277671852903,0.4789084027185795,0.9726848963868229,0.8959691403805476,0.7327044377565617,0.3933807044271367,0.5841314356520351,0.44723375630452145,0.9092840142099283,0.5823802274697694,0.0698841518048341
GUMNet_Mamba,0.595249344500048,0.9118948515838665,0.4304361602144504,0.12180946403148019,0.16192048286074323,0.8073511019187904,0.18399647995670576,0.8481423101759973,0.1255235329250255,0.7906780430115572,0.3242916965715088,1.0,0.9022916532773424,0.14971607311341883,0.016093545407226628,0.13988793890670936,0.6041000891020321,0.4458354074781723,0.23506920513134277,0.15908386977810784,0.26126369624419743,0.8305128726637316,0.27714168778440973,0.6862837048418946,0.1507779292905591,0.3350230307570965,0.14917773346578178
GUMNet_MoE_Sparse,0.694208161381451,0.9965799596450109,0.44865145612290425,0.2307168572167433,0.2437483425002569,0.7964455967975241,0.2708116728050387,0.9564694286475395,0.11281692588762549,0.8243174792310324,0.4673823269887274,0.9022916532773424,1.0,0.22785285086606066,0.15326004807299487,0.2551196190419158,0.6627102546446029,0.5708893650080045,0.3491760541367377,0.2742701280059079,0.42785837486847167,0.9767145624418123,0.42023363192053487,0.7533008070492637,0.27013686676636084,0.49975614132634116,0.18626268298188653
GUMNet_Patch,0.0776814760214275,0.10694125818160649,0.036476646175345184,0.3888457791996993,0.4865144884602195,0.13502128893736987,0.3643178922885315,0.16660769388850638,0.053556596623769215,0.175584241763167,0.21685403968281114,0.14971607311341883,0.22785285086606066,1.0,0.33616243232214105,0.3656928120730498,0.20339204316139936,0.10190574498339,0.29227460556274854,0.33639525472528975,0.2113454922131195,0.21019688899763556,0.204760838186278,0.07995420290764055,0.30706314338394725,0.14008781602747566,0.021143603027154567
GUMNet_RL,0.38209851878755874,0.05135185518463059,0.003105189295643296,0.9974497059707148,0.3762498775518668,0.12126545947738454,0.44369748363587647,0.06866644032965419,0.03821704006108595,0.7877687561544029,0.9354477548753759,0.016093545407226628,0.15326004807299487,0.33616243232214105,1.0,0.5241881060347033,0.530960246269284,0.6642986865317972,0.9513715454730194,0.7633263762747535,0.7556942997586527,0.0990017889292707,0.2840447748190922,0.5708542604119633,0.7767322018467904,0.530680194301703,0.017541806092957968
GUMNet_Wavelet,0.13417588077087683,0.08279711811117907,0.021640334925285165,0.5368711860721214,0.4183556343085806,0.12240485429843595,0.4988737521980766,0.1367231777847957,0.05350509740227105,0.5441286948371804,0.5736048491729737,0.13988793890670936,0.2551196190419158,0.3656928120730498,0.5241881060347033,1.0,0.3061631218575629,0.16273923680042857,0.4440583286687838,0.5755795308447778,0.21407724004095519,0.22510214186925004,0.22311089198468737,0.2583529271978382,0.5696286074947949,0.19214818890233398,0.021804520730537513
GUMNet_iTrans,0.9585896121645892,0.6468214973360218,0.2459286745534368,0.6126426230547872,0.20584157626111677,0.5677604299325871,0.26791140199059327,0.6602549315969428,0.10803427476191652,0.9912707188294807,0.6463277671852903,0.6041000891020321,0.6627102546446029,0.20339204316139936,0.530960246269284,0.3061631218575629,1.0,0.8443349981213721,0.5614416808504408,0.46663712966340465,0.7129565821848707,0.6767764539242642,0.9336538402165742,0.9782515841153667,0.4924490835191295,0.8794277572094125,0.17913487570086128
LTSF_Linear,0.5055138746084382,0.29401799394906414,0.05442316652143697,0.6767280473979249,0.08229653680403137,0.38140000830033305,0.09456377940089267,0.4320677923587306,0.1225982524925826,0.8877932128306316,0.4789084027185795,0.4458354074781723,0.5708893650080045,0.10190574498339,0.6642986865317972,0.16273923680042857,0.8443349981213721,1.0,0.5359644278283135,0.34762409001989436,0.7561745348219118,0.531827927402774,0.823444909204496,0.6538686285481399,0.2629775942045094,0.9191302713238545,0.061405564397299495
Moirai,0.4158422805957218,0.11157112984351225,0.036983887675695604,0.9247197684182238,0.28094480625342166,0.24328996960193172,0.32792578312709697,0.22533444575255857,0.07566039587769269,0.7565818611836268,0.9726848963868229,0.23506920513134277,0.3491760541367377,0.29227460556274854,0.9513715454730194,0.4440583286687838,0.5614416808504408,0.5359644278283135,1.0,0.24849836174884965,0.513527360100277,0.3331541060992489,0.43607345016470545,0.5363779762343042,0.647012916675751,0.45542288177763846,0.028593090652342834
PatchTST,0.2789131917495269,0.059100314353480066,0.018414883503474977,0.6620399656461142,0.3427664986923715,0.16813902438909656,0.405155419456102,0.14969314877782836,0.06149995303666844,0.69350354288534,0.8959691403805476,0.15908386977810784,0.2742701280059079,0.33639525472528975,0.7633263762747535,0.5755795308447778,0.46663712966340465,0.34762409001989436,0.24849836174884965,1.0,0.22350450124106436,0.2541333000977004,0.2805686548047275,0.42325096778748206,0.9255076514986253,0.2753406163270937,0.01872264579338556
RLinear,0.5213214142667613,0.13385847215460966,0.03732546448875107,0.6883742006130964,0.20054509218905103,0.24397619312417307,0.22905483802118987,0.23651190808685074,0.08140870989044391,0.8478984586428342,0.7327044377565617,0.26126369624419743,0.42785837486847167,0.2113454922131195,0.7556942997586527,0.21407724004095519,0.7129565821848707,0.7561745348219118,0.513527360100277,0.22350450124106436,1.0,0.3543780433745116,0.5940294534923787,0.6629610233412833,0.2717199966856343,0.6507136779485707,0.028807937370268544
TFT,0.6829922809602367,0.9853289845998143,0.42733875130798626,0.21153600257511918,0.2256399157465312,0.710133687880937,0.2515717403766038,0.9694940800056051,0.11815202936912872,0.826641002967174,0.3933807044271367,0.8305128726637316,0.9767145624418123,0.21019688899763556,0.0990017889292707,0.22510214186925004,0.6767764539242642,0.531827927402774,0.3331541060992489,0.2541333000977004,0.3543780433745116,1.0,0.4095261348159913,0.7459515072705767,0.24557449207785687,0.4639805806324584,0.15916392023750192
TTM,0.79184191911217,0.025202479559471636,0.0033122879208857814,0.3742100009735325,0.20905498220362628,0.3247937207318936,0.23972815628524313,0.15618692063514672,0.08556938184459018,0.9737907865799875,0.5841314356520351,0.27714168778440973,0.42023363192053487,0.204760838186278,0.2840447748190922,0.22311089198468737,0.9336538402165742,0.823444909204496,0.43607345016470545,0.2805686548047275,0.5940294534923787,0.4095261348159913,1.0,0.8933859972987608,0.20984946349711397,0.8639658885628783,0.033193004462342524
TimeMixer,0.9631273833404119,0.6254548855116775,0.20867425536515416,0.6175473672382377,0.07896552002216439,0.5909929081068706,0.1086427157487293,0.6984142160222646,0.18326073683491106,0.9566503117635115,0.44723375630452145,0.6862837048418946,0.7533008070492637,0.07995420290764055,0.5708542604119633,0.2583529271978382,0.9782515841153667,0.6538686285481399,0.5363779762343042,0.42325096778748206,0.6629610233412833,0.7459515072705767,0.8933859972987608,1.0,0.35651618613544267,0.8222921892897617,0.20030154135413403
TimesFM,0.1932535335857064,0.02816572547502072,0.008146154267987704,0.7240841231628958,0.3112305960290296,0.16759472351481852,0.3728974017716826,0.12800465071673273,0.06215078834885257,0.6799291580817997,0.9092840142099283,0.1507779292905591,0.27013686676636084,0.30706314338394725,0.7767322018467904,0.5696286074947949,0.4924490835191295,0.2629775942045094,0.647012916675751,0.9255076514986253,0.2717199966856343,0.24557449207785687,0.20984946349711397,0.35651618613544267,1.0,0.20645864997611807,0.01357899603923185
TimesNet,0.7155528895320131,0.1589258828279665,0.06415919422626448,0.4879670994598051,0.15097192853954833,0.33446404776841177,0.15878753093774067,0.36819584793174664,0.10136167142179286,0.9328733357169938,0.5823802274697694,0.3350230307570965,0.49975614132634116,0.14008781602747566,0.530680194301703,0.19214818890233398,0.8794277572094125,0.9191302713238545,0.45542288177763846,0.2753406163270937,0.6507136779485707,0.4639805806324584,0.8639658885628783,0.8222921892897617,0.20645864997611807,1.0,0.007685435006095531
iTransformer,0.09891003821536137,0.06637353082966779,0.42282330880613594,0.018398473446741725,0.023025461729387464,0.3374152832190016,0.022782778730537023,0.12638840061180212,0.5261753448434616,0.3772616819753143,0.0698841518048341,0.14917773346578178,0.18626268298188653,0.021143603027154567,0.017541806092957968,0.021804520730537513,0.17913487570086128,0.061405564397299495,0.028593090652342834,0.01872264579338556,0.028807937370268544,0.15916392023750192,0.033193004462342524,0.20030154135413403,0.01357899603923185,0.007685435006095531,1.0
