model,target,horizon,MAE,RMSE,MAPE,sMAPE,R2,MASE,DA,crps,PICP,PINAW
UniTS,XANG,20,5.962642,11.485646,5.8842,6.2983,0.674476,2.005853,45.15,,,
UniTS,XANG,3,4.853655,8.598595,4.2868,4.3078,0.919798,1.006251,49.49,,,
UniTS,XANG,5,5.381644,8.798721,4.7662,4.9286,0.916437,1.113992,45.45,,,
UniTS,XANG,60,7.93366,15.192946,8.1189,9.0173,-0.356723,2.313964,47.95,,,
UniTS,XANG,7,5.344627,10.063244,4.7465,4.9701,0.852565,1.319516,46.23,,,
iTransformer,DAU,10,9.850672,20.690249,6.5506,6.7431,0.800822,2.779843,47.43,9.850672,,
iTransformer,DAU,1,6.160148,12.004797,3.6005,3.603,0.957922,1.082197,57.07,,,
iTransformer,DAU,20,12.493646,26.877608,8.8055,8.7425,0.541404,4.576679,48.33,12.493646,,
iTransformer,DAU,3,10.036623,19.314305,5.9811,5.9506,0.891581,1.801612,46.43,,,
iTransformer,DAU,5,10.078384,17.006419,6.1353,6.3217,0.915555,1.770541,52.53,,,
iTransformer,DAU,60,9.344715,23.892036,7.8233,8.6477,-0.136036,5.787519,49.64,9.344715,,
iTransformer,DAU,7,11.022016,22.11131,7.283,7.2828,0.81567,2.695319,57.88,11.022016,,
iTransformer,XANG,10,4.932503,9.933835,4.5293,4.7781,0.820836,1.375865,49.87,,,
iTransformer,XANG,1,2.980875,5.39185,2.6078,2.6051,0.96862,0.617036,57.07,,,
iTransformer,XANG,20,6.127983,11.425047,5.9862,6.2872,0.677902,2.061475,44.15,,,
iTransformer,XANG,3,5.031282,8.744641,4.4722,4.4959,0.917051,1.043076,40.82,,,
iTransformer,XANG,5,5.577642,9.179142,4.9369,5.1273,0.909054,1.154563,52.53,,,
iTransformer,XANG,60,6.932682,13.672241,7.1531,7.6392,-0.098719,2.022015,47.41,,,
iTransformer,XANG,7,4.733893,8.568864,4.3235,4.4016,0.893101,1.168735,50.34,,,
