model,target,horizon,MAE,RMSE,MAPE,sMAPE,R2,MASE,DA,crps,PICP,PINAW
GUMNet_Adaptive,XANG,20,6.235696,11.306305,6.1017,6.3697,0.684562,2.09771,48.66,4.58954,66.83,10.6513
GUMNet_Adaptive,XANG,3,5.5095,9.818816,4.8078,4.7935,0.89542,1.14222,44.9,4.535893,50.0,5.2628
GUMNet_Adaptive,XANG,5,4.941283,8.102331,4.412,4.551,0.929141,1.022838,52.53,3.812276,57.0,6.6124
GUMNet_Adaptive,XANG,60,6.479569,13.571418,6.5644,7.1915,-0.082574,1.889858,48.72,4.996153,87.92,19.3648
GUMNet_Adaptive,XANG,7,4.661675,8.509351,4.2525,4.35,0.894581,1.150905,51.37,3.625319,64.97,7.1585
GUMNet_Decomp,DAU,10,9.533895,19.492249,6.4087,6.6543,0.82322,2.690449,52.83,7.127724,67.56,15.8755
GUMNet_Decomp,DAU,1,6.212519,12.247114,3.6015,3.6307,0.956206,1.091397,56.57,,65.0,10.017
GUMNet_Decomp,DAU,20,12.375006,26.825524,8.6442,8.6018,0.54318,4.533219,47.16,9.44265,69.5,18.2821
GUMNet_Decomp,DAU,3,9.071984,17.136838,5.4843,5.5234,0.914649,1.628455,49.49,6.430359,66.16,19.1495
GUMNet_Decomp,DAU,5,10.632577,17.649516,6.3796,6.5558,0.909047,1.8679,55.56,7.172432,66.0,22.3925
GUMNet_Decomp,DAU,60,9.225929,23.668796,7.722,8.5224,-0.114905,5.71395,48.63,7.361769,84.91,23.0339
GUMNet_Decomp,DAU,7,10.074025,19.621697,6.6236,6.7581,0.854842,2.463498,55.14,7.774811,65.99,18.0128
GUMNet_Decomp,XANG,10,4.789427,9.719949,4.4307,4.6676,0.828468,1.335956,50.77,3.525715,78.85,9.8436
GUMNet_Decomp,XANG,1,3.210392,5.662567,2.7888,2.8009,0.96539,0.664546,55.05,,71.0,6.9391
GUMNet_Decomp,XANG,20,5.698779,11.67614,5.4246,5.7589,0.663589,1.917089,46.66,4.294644,78.5,13.3332
GUMNet_Decomp,XANG,3,5.068469,8.869814,4.4844,4.5105,0.914659,1.050786,46.43,3.540853,69.7,12.3901
GUMNet_Decomp,XANG,5,5.419987,8.860079,4.7715,4.9647,0.915267,1.121929,53.54,,66.0,11.9664
GUMNet_Decomp,XANG,60,7.661192,14.000785,8.0971,8.705,-0.152158,2.234495,48.21,5.473477,84.52,20.7249
GUMNet_Decomp,XANG,7,4.698886,8.547417,4.2227,4.3401,0.893636,1.160092,52.4,,73.81,10.099
GUMNet_Diffusion,DAU,10,9.452236,20.079778,6.4174,6.5729,0.812402,2.667405,48.46,7.047864,69.36,14.8928
GUMNet_Diffusion,DAU,1,6.166733,12.175972,3.559,3.5635,0.956713,1.083354,58.59,,64.5,8.8944
GUMNet_Diffusion,DAU,20,13.369139,28.770954,9.2979,9.4477,0.474518,4.89739,50.0,10.124283,71.0,19.9966
GUMNet_Diffusion,DAU,3,9.430883,18.435168,5.5916,5.587,0.901226,1.692879,43.88,7.017374,62.63,14.7966
GUMNet_Diffusion,DAU,5,10.341163,17.713343,6.2004,6.3849,0.908388,1.816706,52.02,6.955834,61.0,18.7285
GUMNet_Diffusion,DAU,60,9.731826,23.597131,8.2328,9.1266,-0.108164,6.027271,46.96,7.516785,82.74,25.0318
GUMNet_Diffusion,DAU,7,10.888496,21.653519,7.1642,7.1186,0.823223,2.662668,52.4,8.127629,63.61,15.8258
GUMNet_Diffusion,XANG,10,4.849921,9.918523,4.5483,4.7955,0.821388,1.35283,51.54,3.518412,74.87,9.9477
GUMNet_Diffusion,XANG,1,3.145745,5.870522,2.742,2.7375,0.962801,0.651164,61.11,2.33115,65.5,6.0784
GUMNet_Diffusion,XANG,20,6.200975,11.944844,5.9864,6.3316,0.647927,2.086029,47.99,4.549308,73.17,12.5979
GUMNet_Diffusion,XANG,3,5.548642,9.732947,4.852,4.8783,0.897242,1.150335,47.45,3.947149,64.65,10.489
GUMNet_Diffusion,XANG,5,5.550943,9.120525,4.9623,5.1598,0.910212,1.149036,47.47,,70.0,11.7605
GUMNet_Diffusion,XANG,60,6.733583,13.34226,6.9571,7.4821,-0.046324,1.963945,47.17,5.053599,83.63,20.1413
GUMNet_Diffusion,XANG,7,4.451779,7.892753,4.0992,4.226,0.909305,1.099084,47.26,3.202523,75.17,10.0835
GUMNet_Fourier,DAU,10,9.400324,19.180715,6.3594,6.5827,0.828826,2.652756,50.77,6.925886,65.64,14.8974
GUMNet_Fourier,DAU,1,5.816764,11.12276,3.3364,3.3485,0.963878,1.021872,56.57,,66.0,8.9678
GUMNet_Fourier,DAU,20,12.912286,27.339904,9.2114,9.1105,0.525493,4.730035,48.83,9.847272,70.67,18.653
GUMNet_Fourier,DAU,3,10.401879,20.133367,6.036,5.9503,0.88219,1.867177,42.86,7.496826,62.12,16.497
GUMNet_Fourier,DAU,5,10.243693,17.130032,6.1419,6.3282,0.914322,1.799582,48.48,6.872799,60.5,19.0922
GUMNet_Fourier,DAU,60,9.526339,24.006763,8.0429,8.8099,-0.146972,5.900005,48.06,7.373495,88.04,23.2931
GUMNet_Fourier,DAU,7,10.778663,20.570456,7.0998,7.1731,0.840465,2.63581,55.48,8.18573,62.59,14.6518
GUMNet_Fourier,XANG,10,4.721963,9.573646,4.4114,4.6377,0.833593,1.317137,49.36,3.552483,76.79,9.4622
GUMNet_Fourier,XANG,1,3.117916,5.604654,2.6755,2.6728,0.966094,0.645404,52.53,,66.0,6.171
GUMNet_Fourier,XANG,20,5.957825,11.112371,5.7851,6.0509,0.695291,2.004233,49.67,4.292943,77.17,13.8744
GUMNet_Fourier,XANG,3,4.996131,8.614169,4.3781,4.4151,0.919507,1.035789,47.45,3.367171,67.68,10.3513
GUMNet_Fourier,XANG,5,4.89328,8.267888,4.368,4.4776,0.926215,1.012901,54.04,,75.0,13.5885
