Concurrent run started: 2026-08-17T01:54:25.428070
GPU: 2 | Models: 47 | Jobs: 658

[  69/658]  10.5% | OK:69   FAIL:0    SKIP:0   | OK           | 5550s | ETA:28143m | MambaFormer|XANG|H3|s2025
[  70/658]  10.6% | OK:70   FAIL:0    SKIP:0   | OK           | 5017s | ETA:27754m | Chronos|XANG|H3|s2025
[  71/658]  10.8% | OK:71   FAIL:0    SKIP:0   | OK           | 4708s | ETA:27405m | TimesFM|XANG|H3|s2025
[  72/658]  10.9% | OK:72   FAIL:0    SKIP:0   | OK           | 4319s | ETA:27039m | Moirai|XANG|H3|s2025
[  73/658]  11.1% | OK:73   FAIL:0    SKIP:0   | OK           | 9345s | ETA:26822m | S_Mamba|XANG|H3|s2025
[  74/658]  11.2% | OK:74   FAIL:0    SKIP:0   | OK           | 4155s | ETA:26565m | Lag_Llama|XANG|H3|s2025
[  75/658]  11.4% | OK:75   FAIL:0    SKIP:0   | OK           | 11686s | ETA:26243m | TimeMachine|XANG|H3|s2025
[  76/658]  11.6% | OK:76   FAIL:0    SKIP:0   | OK           | 10568s | ETA:25914m | BiMamba|XANG|H3|s2025
[  77/658]  11.7% | OK:77   FAIL:0    SKIP:0   | OK           | 4597s | ETA:25589m | GPT4TS|XANG|H3|s2025
[  78/658]  11.9% | OK:78   FAIL:0    SKIP:0   | OK           | 5385s | ETA:25236m | TEMPO|XANG|H3|s2025
[  79/658]  12.0% | OK:79   FAIL:0    SKIP:0   | OK           | 4264s | ETA:25051m | Gated_TabNet|XANG|H3|s2025
[  80/658]  12.2% | OK:80   FAIL:0    SKIP:0   | OK           | 7225s | ETA:24873m | Time_MoE|XANG|H3|s2025
[  81/658]  12.3% | OK:81   FAIL:0    SKIP:0   | OK           | 6255s | ETA:24721m | GUMNet|XANG|H3|s2025
[  82/658]  12.5% | OK:82   FAIL:0    SKIP:0   | OK           | 12371s | ETA:25163m | GUMNet_Mamba|XANG|H3|s2025
[  83/658]  12.6% | OK:83   FAIL:0    SKIP:0   | OK           | 11591s | ETA:24850m | GUMNet_Patch|XANG|H3|s2025
[  84/658]  12.8% | OK:84   FAIL:0    SKIP:0   | OK           | 12949s | ETA:24598m | GUMNet_iTrans|XANG|H3|s2025
